en,ko
abdullah,압둘라
adolf,아돌프
advances,진전
agnes,아그네스
agreements,협정
airways,항공
alert,알림
algebra,대수
algebra,대수학
algerian,알제리
alias,별명
alignment,선형
ammunition,탄약
amusement,놀이
anger,분노
angola,앙골라
antoine,앙투안
antwerp,앤트워프
arlington,알링턴
arrow,화살표
asset,자산
asteroid,소행성
astronomer,천문학자
atoms,원자
attributes,속성
auburn,오번
aunt,이모
aunt,고모
automotive,자동차
badminton,배드민턴
bankruptcy,파산
barrel,배럴
bart,바트
basque,바스크
bats,박쥐
beck,벡스
bedford,베드퍼드
bengali,벵골
bengali,벵골어
berkshire,버크셔
bermuda,버뮤다
berry,베리
beverly,베벌리
blackburn,블랙번
blame,비난
boyfriend,남친
brandon,브랜던
breakfast,아침
brewery,맥주
buck,벅스
buddy,버디
bug,버그
bypass,바이패스
cabin,오두막
cabin,객실
caesar,시저
cage,케이지
cairo,카이로
cake,케이크
calm,잔잔한
calm,차분한
calvin,칼뱅
cameras,카메라
canberra,캔버라
capability,능력
capitals,캐피털
carnival,카니발
carson,카슨
castro,카스트로
catalan,카탈루냐
catholicism,가톨릭주의
celebrations,축하
censorship,검열
chains,사슬
chapman,채프먼
chef,주방장
chocolate,초콜렛
chronic,만성적인
clarification,해명
cleaning,청소
cleaning,클리닝
clement,클레멘스
climb,오르기
climbing,등반
clinic,진료소
clyde,클라이드
columnist,칼럼니스트
communism,공산주의
communists,공산주의자
composite,합성
cone,원뿔
confirmation,확인
constantine,콘스탄티누스
consulting,컨설팅
container,용기
container,컨테이너
continuity,연속
continuity,연속성
controller,컨트롤러
cooperative,협동조합
corrected,교정
cottage,코티지
courthouse,법원
cowboys,카우보이
crane,크레인
creature,생명체
criminals,범죄자
crush,크러쉬
cry,울음
cubs,컵스
czechoslovakia,체코슬로바키아
dad,아빠
dawson,도슨
dealer,딜러
debates,토론
decorations,장식
decreased,감소
demolition,폭파
demonstration,시위
demonstration,시연
deployment,배포
deposits,예금
deputies,대의원
detect,탐지
detection,탐지
detection,감지
detection,검출
diagnosis,진단
diary,일기장
diary,일기
differential,미분
dirty,더러운
discharge,퇴원
dishes,접시
dissolution,해산
drag,드래그
drag,끌기
drops,물방울
dub,더빙
dwarf,난쟁이
dylan,딜런
dynamics,역학
easter,부활절
eclipse,이클립스
ecological,생태
educators,교육자
eleanor,엘리너
elena,엘레나
elvis,엘비스
embedded,임베디드
emirates,에미리트
emissions,배출량
emissions,배출권
encouraging,격려
erik,에리크
erik,에릭
estimates,추정치
eva,에바
everywhere,어디든
exam,시험
expense,비용
explicit,명시
exploring,탐험
expressway,자동차도
factual,사실적
falcon,팰콘
