en,ko
acquire,획득
adolf,아돌프
advertisement,광고
advise,조언
algerian,알제리
alignment,선형
allison,앨리슨
analog,아날로그
andreas,안드레아스
angelo,안젤로
angelo,젤로
anger,분노
arabian,아라비아
archer,아처
arlington,알링턴
armour,갑옷
bag,가방
baldwin,볼드윈
battlefield,배틀필드
beaches,해변
beds,침대
bermuda,버뮤다
beth,베스
binary,바이너리
blackburn,블랙번
blessed,축복
bonds,채권
boyfriend,남친
brandon,브랜던
cake,케이크
calm,차분한
carnival,카니발
catalina,카탈리나
chef,요리사
chemicals,화학물질
clara,클라라
clip,클립
competitor,경쟁자
console,콘솔
consumers,소비자
continuously,지속적으로
convent,수녀원
cooling,냉각
cottage,코티지
courage,용기
crawford,크로퍼드
crawford,크로포드
crow,까마귀
darwin,다윈
dash,대시
decree,법령
detachment,분리
detect,탐지
dish,접시
distribute,배포
dodgers,다저스
dolphins,돌고래
donna,도나
drops,물방울
dwarf,난쟁이
easter,부활절
eden,이든
elephant,코끼리
elisabeth,엘리자벳
emirates,에미리트
enhance,향상
erik,에리크
eternal,영원한
everyday,일상
everywhere,어디서나
everywhere,어디든
exhibits,전시회
expenses,비용
explicit,명시적
explore,탐험
fitzgerald,피츠제럴드
floors,바닥
fragments,단편
frozen,냉동
germanic,게르만어
gloucester,글로스터
governance,거버넌스
graduates,졸업생
happiness,행복
hardcore,하드코어
heather,헤더
import,불러오기
imported,가져온
imprisonment,감금
ink,잉크
inscription,비문
insert,삽입
insight,통찰력
intro,소개
investigator,탐정
kay,케이
kerry,케리
krishna,크리슈나
leone,레온
libya,리비아
limitations,한계
liver,간디
lonely,외로움
lunar,음력
masses,덩어리
matching,일치하는
mega,메가
montenegro,몬테네그로
mood,분위기
myth,신화
nationals,내셔널스
natives,원주민
nervous,긴장감
nervous,긴장
nest,둥지
networking,네트워킹
networking,네트워크
neutrality,중립성
nielsen,닐센
norm,노름
notices,공지
odds,확률
paragraphs,단락
paraguay,파라과이
paramount,파라마운트
partition,분할
peaceful,평화로운
pepper,페퍼
percy,퍼시
peruvian,페루
peterson,피터슨
philosophers,철학자
phones,전화기
pistol,권총
plasma,플라즈마
pointless,무의미한
pollution,오염
posters,포스터
pottery,도자기
precedent,선례
pregnancy,임신
preview,미리보기
proceed,진행
productive,생산적
proportion,비율
pump,펌프
pyramid,피라미드
ranger,레인저
rebecca,리베카
reef,암초
reformation,종교개혁
rent,월세
rené,레네
replied,답글
retire,은퇴
ribbon,리본
ricardo,히카르두
rockets,로켓
romans,로마인
rope,밧줄
rudolf,루돌프
sacramento,새크라멘토
sandbox,샌드박스
sanders,샌더스
santo,산토
saves,저장
scouting,스카우트
screenshot,스크린샷
secrets,비밀
shepherd,양치기
shirt,셔츠
shoes,신발
sizes,크기
slope,경사
slovak,슬로바키아어
specify,지정하기
statues,동상
steelers,스틸러스
stopping,멈추기
sunset,선셋
swan,백조
swimmer,수영
theft,도난
timothy,티모시
toledo,톨레도
torture,고문
tough,터프
transfers,전송
travis,트레비스
triumph,트라이엄프
tudor,튜더
uncommon,드문
valentine,밸런타인
valentine,발렌타인
wanderers,원더러스
warehouse,창고
whale,고래
wheeler,휠러
wives,아내
worried,걱정
