cs,sk
snižovat,zhadzovať
půda,podkrovie
respekt,rešpekt
splňovat,vyhovovať
nakonec,nakoniec
milovník,milovník
leda,iba
středisko,stredisko
padnout,spadnúť
farnost,farnosť
upřímně,čestne
nech,nech
máj,máj
manévrování,manévrovanie
inerciální,inerciálne
doplněná,doplnený
ukončit,skončiť
průmyslová,priemyslová
mít,pokladať
zasedání,stretnutie
tělo,telo
dále,navyše
pořádek,poriadok
předměstí,predmestie
umělecká,umelecká
měsíční,mesačne
stroji,stroji
spreje,spreje
jít,ísť
tropických,tropických
současný,dnešný
udržovat,zachovávať
zoufalství,zúfalstvo
kočka,mačka
evidentně,zjavne
zdali,zdali
dodavatelé,dodávateľov
výstřel,výstrel
se,se
společně,jednotne
stejný,rovnaký
smrt,smrť
práce,práca
mateřské,materské
gril,gril
války,vojny
spustit,naštartovať
ztraceno,stratené
odděleny,rozdelené
rozhodčí,rozhodcovský
stíhací,stíhací
prodat,predať
naučil,naučil
smlouva,zmluva
rozumět,rozumieť
verze,verzia
originální,originálny
úžasný,úžasný
slíbit,prislúbiť
jenže,ibaže
přesvědčit,uistiť
vlastnost,vlastnosť
slabost,slabosť
proběhnout,prebehnúť
obyčejný,obyčajný
užitečná,užitočná
obklíčeni,obkľúčení
dříve,skoršie
účastí,účastí
zemědělství,poľnohospodárstvo
mezinárodní,medzinárodný
rozměr,rozmer
odpoledne,poobede
spojený,spojený
zimou,zimou
stahování,sťahovanie
řád,poriadok
ekonom,ekonóm
spolehlivý,verný
díky,vďaka
ukončením,ukončením
minerál,minerál
výroční,výročná
kapusta,kel
stranami,stranami
průběh,priebeh
mladý,mladý
cokoli,čokoľvek
lékař,lekár
lyžařský,lyžiarsky
knihovna,knižnica
čtvrtek,štvrtok
skončit,dokončiť
pátek,piatok
zbývat,zostávať
něčí,niečia
košile,košeľa
svaté,sväté
sběr,zber
jeskyně,jaskyňa
jízda,jazda
svatý,posvätný
postavení,postavenie
sexuální,sexuálny
táta,ocino
zlepšení,zlepšení
přímo,rovno
přidaný,pridaný
probudit,zobudiť
stezky,trasy
mateřství,materstvo
misky,misky
srpen,august
facebook,facebook
tekutý,tekutý
ukončit,ukončiť
teenageři,tínedžeri
plánovat,plánovať
struktura,štruktúra
souběžně,súbežne
toky,toky
zejména,zvlášť
okresní,okresný
jiný,iný
dopoledne,dopoludnia
exponáty,exponáty
určil,určil
těsný,tesný
posilování,posilovania
spravedlnost,spravodlivosť
větev,konár
ovladač,ovládač
skutečně,vskutku
mořský,morský
čelí,čelia
nosit,nosiť
loučení,lúčenie
kolem,okolo
přivítat,privítať
asistence,asistencia
prosadit,presadiť
oslavit,osláviť
dokázat,zvládnuť
informovat,informovať
hrnek,šálka
průvodce,sprievodca
sáhů,siah
relevantní,relevantný
mechanismus,mechanizmus
snažit,usilovať
strávila,strávila
základní,základný
jakýsi,akýsi
oběť,obeť
sošky,sošky
skupinou,skupinou
normální,normálny
překvapit,prekvapiť
úcty,úcty
provést,vysvetliť
předpoklad,predpoklad
uhradit,uhradiť
reputace,povesť
tvor,tvor
přání,prianie
známý,známy
rozhraní,rozhranie
obilí,obilie
děkovat,ďakovať
roční,ročný
ztratit,prehrať
díky,ďakujem
léčba,liečba
čtu,čítam
normálně,normalne
rozsáhlý,rozsiahly
snímání,snímanie
vyrobené,vyrobené
skvěle,skvele
doprava,premávka
udržovat,udržiavať
naprostý,úplný
přiznat,priznať
naděje,nádej
drůbež,hydina
otevřít,otvoriť
tlačítko,tlačidlo
krajka,čipka
proto,preto
snížený,znížený
pozměnit,upraviť
odstavce,odseky
působnost,vplyv
přicházet,prichádzať
říkat,hovoriť
snad,snáď
trhliny,trhliny
zařazení,zaradenie
jmenovité,menovité
střevo,črevo
známí,známi
fauny,fauny
příjem,príjem
svědci,svedkovia
jakbysmet,taktiež
spolupracující,spolupracujúci
brát,brať
turné,turné
výjimku,výnimku
projev,prejav
slunovrat,slnovrat
regionální,regionálny
upřímný,úprimný
sousední,susedný
prostředek,prostriedok
píseň,pieseň
ignorovat,ignorovať
aplikace,aplikácie
prospěšný,prospešný
poselství,posolstvo
patnáct,pätnásť
porušení,porušovanie
entity,entity
kupředu,dopredu
fungoval,fungoval
doposud,doposiaľ
dovést,doviesť
holka,dievča
zasedání,zasadanie
satelit,satelit
mluvit,rozprávať
spustit,vyvolať
spolupracovník,spolupracovník
snížit,znížiť
podmínky,podmienky
zákazníci,zákazníci
vápence,vápence
odkazovat,odkazovať
prostřednictvím,prostredníctvom
legrace,sranda
velmi,veľmi
méďa,maco
měla,mala
pochybovat,pochybovať
kouřit,dymiť
pohodlí,pohodlie
neboť,lebo
podezřelá,podozrivá
dovednost,zručnosť
měsíc,mesiac
lučištníci,lukostrelci
souviset,súvisieť
revidované,prepracované
kamna,pec
stáj,stajňa
týkat,vzťahovať
vést,riadiť
platební,platobný
hubený,chudý
pěšáci,pešiaci
provést,previesť
teorie,teória
prosadit,zrealizovať
též,takisto
loučení,rozlúčenie
jakékoliv,akýchkoľvek
uložení,uskladnenie
objevit,vynoriť
krajní,extrémny
komise,komisia
skvělý,vynikajúci
evropská,európska
evidentně,evidentne
vesnice,obec
také,aj
projevit,vzdať
května,mája
kusy,kúsky
složit,tvoriť
jihovýchodní,juhovýchodný
převzetí,prevzatia
působení,pôsobenie
hezky,pekne
rychlost,rýchlosť
rozhodčí,rozhodca
hospodářství,hospodárstvo
správně,administratívne
kapsle,kapsuly
labilní,labilný
měkké,mäkký
konstantní,konštantný
případný,prípadný
využijete,využijete
relaxační,relaxačný
mladík,mladík
spojit,zlúčiť
přiblížit,priblížiť
ovšem,samozrejme
dorazit,dostať
luštěnina,strukovina
poradců,poradcov
schopen,schopný
hudební,hudobný
kompatibilní,kompatibilný
schoval,skryl
funkce,funkcia
občanský,občiansky
všimne,všimne
reakce,reakcia
kolo,kruh
odcházet,odchádzať
registrace,registrácia
prvek,prvok
závazné,záväzné
more,more
pít,piť
provoz,premávka
ukončení,zavŕšenie
ideální,ideálny
stavbou,stavbou
dobře,správne
levněji,lacnejšie
mater,mater
příliv,príliv
umělec,umelec
máslo,maslo
dát,dať
byla,bola
obvykle,bežne
zastavil,zastavil
označení,označenia
zákroky,zákroky
esejista,esejista
jmenování,vymenovanie
obránci,obranci
patrný,citeľný
květen,máj
mrkev,mrkva
křesťan,kresťan
skříň,skriňa
pozemky,pôda
mazací,mazacie
granáty,granáty
přidat,pridať
vyhovět,vyhovieť
zpověď,spoveď
mrazy,mrazy
říše,ríša
zboží,tovar
povolení,oprávnenia
země,krajina
nasadila,nasadila
povídat,rozprávať
karla,karola
čtyři,štyri
potkat,postihnúť
odpočinek,odpočinok
střela,projektil
