cs,sk
prohlídka,prehliadka
speciální,osobitný
nyní,teraz
grafiky,grafiky
dopis,list
královna,kráľovná
skvěle,nádherne
odpočinout,odpočinúť
prostor,priestor
staletí,storočie
opět,znovu
stížnost,sťažnosť
rozdělená,rozdelená
označení,značenie
uvedená,uvedená
zdůvodnit,zdôvodniť
přerušení,prerušenie
žíznivý,smädný
situace,situácia
usmířili,zmierili
zabijáci,vrahovia
prosperující,prosperujúci
starověký,staroveký
útočník,útočník
červenec,júl
zpověď,priznanie
rozdělení,rozdelenie
napíše,napíše
včera,včera
změřit,zmerať
někam,niekam
efekt,vplyv
čestným,čestným
velké,veľké
výkonnost,výkonnosť
objevit,objaviť
střela,strela
své,své
německy,nemecky
seriózní,seriózny
zůstatek,zostatok
plat,mzda
preference,preferencia
významnosti,významnosti
také,taktiež
znovu,znovu
zasedání,zasadnutie
mastných,mastných
osvobozena,oslobodená
historie,dejiny
horké,horúce
ostrovní,ostrovný
těžký,silný
příjemný,potešiteľný
známa,známa
skutečný,pravý
těžký,ťažký
přijato,prijatá
lavičky,lavičky
samotné,samotné
matku,matku
loňský,vlaňajší
přerušeno,prerušené
kvalifikační,kvalifikačný
zvoleného,zvoleného
placená,platená
kobliha,šiška
vyvolané,vyvolané
nahrávání,nahrávanie
německá,nemecká
spravovat,viesť
přesun,presun
sport,šport
ihned,hneď
líbit,páčiť
blízký,blízky
stáli,stáli
překrocení,prekročenie
ideologie,ideológia
zobrazené,zobrazené
jiní,ostatný
účesy,účesy
legální,legálny
lokalita,lokalita
takzvaných,takzvaných
období,lehota
tradice,tradícia
kartáč,kefa
zjišťování,zisťovanie
láhev,fľaša
přijímání,prijatie
časové,časové
nepřiměřené,neprimerané
spisu,spisu
mozek,mozog
spojení,spojení
polovina,polovica
prádlo,bielizeň
otočit,otočiť
rozhodnutí,rozhodnutie
tržiště,trh
terasa,terasa
specifický,špecifický
věrně,verne
nahoru,nahor
nahrané,zaznamenané
reputace,reputácia
sprcha,sprcha
pátý,piaty
vyhrazené,rezervované
proslulý,známy
lidí,ľudí
milion,milión
přát,priať
čubka,suka
otevřeno,otvorené
misie,misie
neboli,neboli
doplnit,doplniť
profese,profesia
nespočetně,neúrekom
prevence,prevencia
pondělí,pondelok
zadarmo,zadarmo
laser,laser
pozvat,pozvať
země,zeme
folie,fólia
dříve,predtým
klobouček,klobúčik
zamítnout,odmietnuť
nazývaná,nazývaná
etapy,etapy
potomků,potomkov
naslouchat,načúvať
zabit,zabiť
kompenzovat,kompenzovať
společník,spoločník
dítě,dieťa
vesnic,dedín
výraznými,výraznými
symbolicky,symbolicky
fluoru,fluóru
museli,museli
slíbit,sľúbiť
hnědá,hnedá
vesnice,dedinka
uznávaným,uznávaným
testované,testované
obličej,tvár
svázaný,zviazaný
natrvalo,natrvalo
namísto,miesto
fotka,fotka
rovnat,usporadúvať
těleso,teleso
když,keď
povídat,hovoriť
mechanický,mechanický
pustit,pustiť
sprchový,sprchový
spojit,zmiešať
vzorec,vzorec
čele,čele
princezna,princezná
konkrétní,konkrétny
vyvážené,vyvážané
vyhrazené,vyhradené
napsali,napísali
vymyšlený,vymyslený
jmenovitý,menovitý
spodní,spodný
nebaví,nebaví
pokladna,pokladnica
další,nasledujúci
podíl,podiel
cáklý,švihnutý
plátek,plátok
být,byť
dost,dosť
kouřit,čadiť
ztráta,prehra
země,pôda
původní,pôvodný
spravovat,spravovať
příjemný,sympatický
zadek,zadok
vydavatele,vydavateľa
přijít,vymyslieť
ústavní,ústavný
levný,lacné
rovněž,tiež
rozhodovat,rozhodovať
nazýval,nazýval
specifikace,špecifikácia
kouřit,čmudiť
patrný,viditeľný
lekce,lekcia
teroristické,teroristické
kabely,káble
zvukové,zvukové
samozřejmost,samozrejmosť
postřeh,postreh
sledovat,pozorovať
umění,umenie
hlášení,hlásenie
splňovat,spĺňať
napadá,napadá
čínu,čínu
příběhy,príbehov
okr,oker
činy,činy
způsobilé,oprávnené
trojka,trojka
loděnice,lodenica
odpustit,odpustiť
napětí,napätie
modlitba,modlitba
směřovat,smerovať
součást,súčasť
samoty,samoty
příspěvek,prínos
technik,technik
ven,von
slovenským,slovenským
obývák,obývačka
sázet,sádzať
střídavě,striedavo
povinnost,povinnosť
dost,stačí
nejlepší,najlepšia
ošetřit,ošetriť
lana,laná
ocas,chvost
udělen,udelený
rozdíl,rozdiel
únor,február
knížky,knižky
nádvoří,nádvorie
přiznat,unať
myšleno,myslené
klást,klásť
pochlubit,pochváliť
původní,originálny
dopadnout,dolapiť
myšlení,myslenie
preventivně,preventívne
prý,vraj
otisky,odtlačky
