cs,sk
nudit,nudiť
kryt,kryt
metabolismus,metabolizmus
zobrazí,zobrazí
nadcházející,blížiaci
dělat,robiť
kódu,kódu
ukládání,uloženie
svaz,zväz
zabráněno,zabránené
finance,financie
procházka,prechádzka
moudrý,múdry
koupit,kúpiť
ukončené,ukončené
přijímat,prijímať
týden,týždeň
mafie,mafia
něco,niečo
šití,šitie
maso,mäso
strup,chrasta
dokončena,dokončená
papír,papier
stale,stale
krajinná,krajinná
vyslovuje,vyslovuje
linka,linka
trpělivosti,trpezlivosti
kromě,okrem
tradiční,tradičný
exekuci,exekúciu
místnost,miestnosť
odměna,odmena
týkající,týkajúci
terénní,terénny
slzy,slzy
elektrické,elektrické
populární,populárny
cizí,cudzí
vybrán,vybraný
nainstalovat,nainštalovať
veliteli,veliteľovi
toalety,toalety
dopadnout,dopadnúť
edice,rad
představovat,predstavovať
datum,dátum
brýle,okuliare
snižovat,ponižovať
nakládání,nakladanie
termín,termín
občerstvení,občerstvenie
historie,história
připravovat,chystať
omezuje,obmedzuje
stupni,stupni
překlad,preklad
smíšený,zmiešaný
testovány,skúšané
arabové,arabi
trouba,rúra
stávající,jestvujúci
facto,facto
koupaliště,kúpalisko
veterinární,veterinárna
požitek,pôžitok
tyto,tieto
jednohlasně,jednohlasne
lékaře,lekára
tchán,svokor
plánů,plánov
navýšení,zväčšenie
souhlasit,súhlasiť
domácí,domáci
rozkvět,rozkvet
modrat,modrať
říjen,október
tvoření,tvorenie
nalezena,nájdená
skvěle,geniálne
slavný,slávny
jsou,sú
sovětský,sovietsky
transakce,transakcia
tabulka,tabuľka
pasivní,pasívny
poradit,poradiť
zvědavý,zvedavý
správný,správny
název,názov
radit,radiť
jaký,aký
smrtelně,smrteľne
zcela,kompletne
ukončení,skončenie
procházet,prechádzať
vidění,videnie
nabídka,ponuka
území,územia
osvícení,osvietenie
utrácet,míňať
symbol,symbol
schůzka,schôdzka
domněnky,domienky
poezie,poézia
patřit,patriť
relaxace,relaxácia
jih,juh
mor,mor
jen,jedine
opatření,opatrenia
intimní,intímny
řada,edícia
prostě,jednoducho
šedá,sivá
rychlý,rýchly
předloha,predloha
země,zemi
službách,službách
míst,miest
patrný,zreteľný
stanovení,určovanie
vést,prispievať
provést,vyviesť
nadstandardní,nadštandardný
vzorce,vzorce
masky,masky
založeného,založeného
technický,technický
otevřený,otvorený
provedení,prevedenie
září,september
kostela,kostola
odolat,odolať
shodovat,zhodovať
prohra,prehra
smířit,uzmieriť
přítel,priateľ
trávník,trávnik
stanoví,stanoví
studijní,štúdijný
koupelna,kúpeľňa
hravě,hravo
chasník,mládenec
osazený,osadený
veličina,veličina
subjektivní,subjektívny
myšlenka,myšlienka
bít,biť
duben,apríl
vločky,cereálie
slovensky,slovensky
optimalizace,optimalizácia
připravovat,pripravovať
i,aj
variace,variácie
snímání,nasnímanie
čas,čas
obnovit,obnoviť
diskuse,rozprava
průměrný,priemerný
nainstalován,nainštalovaný
kabina,kabína
oživit,oživiť
těžší,silnejší
eliminovat,eliminovať
pálení,destilácia
živočichové,živočíchy
nejlepší,najlepší
testování,skúšanie
komunikace,komunikácia
ztráta,strata
obr,obor
síto,sito
člena,člena
nemluvně,nemluvňa
úmyslně,zámerne
foto,foto
bojiště,bojisko
opylovače,opeľovače
prokázal,dokázal
pouze,jedine
emise,emisie
přijít,prísť
seznámit,predstaviť
slovenských,slovenských
inovativní,inovatívny
límec,golier
vyplácí,zaplatí
patrný,zrejmý
společnost,spolok
ulice,ulica
zábavu,zábavu
ekzém,ekzém
region,región
skončit,ukončiť
prezentovat,prezentovať
místní,miestna
kraťasy,kraťasy
moderní,moderný
děda,deda
zastaví,zastaví
tom,tom
upřesnit,spresniť
enzym,enzým
nenávidím,nenávidím
nést,niesť
příjezd,príchod
zavřené,zatvorené
nastupuje,nastupuje
sloh,sloh
samotného,samotného
stanice,stanica
udržuje,udržuje
pouze,ibaže
přispět,prispieť
útočníci,útočníci
lhát,klamať
slavnostní,oslavný
hořec,horec
naučili,naučili
plíseň,pleseň
upravená,upravená
jmenovat,ustanoviť
oprávněn,oprávnený
ráj,raj
povinná,povinná
nárůst,nárast
soukromý,súkromný
velikosti,veľkosti
nepřímé,nepriame
fondu,fondu
jícnu,pažeráka
kouřit,fajčiť
společný,spoločný
odůvodněné,odôvodnené
zimy,zimy
kamarádit,kamarátiť
dočasně,dočasne
stanoven,stanovený
kandidátů,kandidátov
odpoledne,popoludní
schválen,schválený
sázet,sadiť
tolerance,tolerancia
jeřáb,žeriav
uložen,uložený
udělit,poskytnúť
připraven,pripravený
kras,kras
zde,sem
modrý,modrý
akcionáři,akcionári
len,len
důležitý,podstatný
záchranných,záchranných
přijímat,prijať
vesty,vesty
sloveso,sloveso
skutečný,skutočný
přísnost,prísnosť
těsný,blízky
rušit,obťažovať
státní,štátny
ministr,minister
režie,réžia
mimořádně,mimoriadne
společenský,spoločenský
skála,skala
vetřelci,votrelci
navazující,nadväzujúci
těžký,tragický
levý,ľavý
takový,taký
krátký,krátky
existovat,existovať
obvinění,obvinení
členským,členským
plněný,plnený
srovnatelné,porovnateľné
fungovalo,fungovalo
postaven,postavený
omezen,obmedzený
důrazně,dôrazne
množství,čiastka
ratifikace,ratifikácia
tažného,ťažného
dostatečné,dostatočné
pevnost,opevnenie
samostatně,samostatne
místní,miestny
pracoviště,pracovisko
začínal,začínal
správnou,správnou
rozdělen,rozdelený
předejít,predísť
věřit,veriť
díky,diki
soudit,súdiť
karlovci,karolovci
prodávající,predávajúci
frází,fráz
téměř,takmer
mlsný,maškrtný
hnědý,hnedý
izolace,izolácia
kvalifikace,kvalifikácia
místní,miestne
zabili,zabili
svítidla,svietidlá
dovést,priviesť
známka,známka
necelých,necelých
umět,vedieť
procento,percento
působící,pôsobiaci
vzali,vzali
sankce,sankcie
