cs,sk
mnohem,oveľa
gumové,gumové
představa,fantázia
prý,údajne
přes,prostredníctvom
počítat,počítať
tady,tu
schválené,schválené
pořídit,nadobudnúť
směšný,smiešny
stánku,stánku
udržitelný,udržateľný
nahrané,nahrané
veselý,veselý
sekvence,sekvencia
překážka,prekážka
snídaně,raňajky
putovat,vandrovať
zrušena,zrušená
napsat,napísať
narozen,narodený
extraliga,extraliga
jmenovat,vymenovať
jedině,jedine
zlatou,zlatou
úmrtí,úmrtia
čerpadla,čerpadla
probíhat,prebiehať
upozornění,upozornenie
pořádný,poriadny
mrcha,mrcha
společně,spoločne
dokázat,dokázať
narychlo,narýchlo
odstraněno,odstránené
radost,radosť
půda,pôda
nazývat,nazývať
spát,spať
éru,éru
květiny,kvetiny
trouba,trúba
také,také
posilovat,posilniť
závazek,záväzok
oční,očný
kopie,kópia
řezník,mäsiar
osobní,osobný
česká,česká
psát,písať
dvacet,dvadsať
externí,externé
příčestí,príčastie
reprezentace,zastúpenie
spánku,spánku
tramvaj,električka
prosadit,schváliť
korupce,korupcia
může,môže
vést,viesť
mastné,mastné
vhodného,vhodného
nádobí,riad
slovanských,slovanských
function,function
samotnými,samotnými
spokojený,spokojný
lesklé,lesklé
květina,kvetina
několika,niekoľko
katolický,katolícky
společně,dokopy
umístění,poloha
sféry,sféry
zakončená,zakončená
říše,impérium
přizpůsobení,prispôsobenie
mixér,mixér
mešity,mešity
onemocněť,ochorieť
armádní,armádny
chudý,chudobný
nástupce,nástupca
patrný,postrehnuteľný
trolejbusy,trolejbusy
junioři,juniori
zralý,zrelý
působivý,pôsobivý
policie,polícia
stálý,pevný
trvalým,trvalým
recenze,recenzia
vesnice,dedina
technikami,technikami
mapě,mape
období,obdobia
projednat,prediskutovať
získané,získané
diskuse,diskusia
hloubka,hĺbka
desky,dosky
svačina,desiata
překupník,priekupník
necky,koryto
zavěšení,zavesenie
smrtelné,smrteľná
zmíněná,zmienená
kostel,kostol
současný,novodobý
krajský,krajský
vzdušného,vzdušného
hloupý,hlúpy
zajímá,zaujíma
předků,predkov
příslib,prísľub
spodní,dolný
lékárna,lekáreň
používání,používanie
záznamu,záznamu
množství,množstvá
někdo,niekto
zemřel,zomrel
ztratit,stratiť
provozovna,prevádzkareň
úterí,utorok
vznikala,vznikala
sníh,sneh
paměť,pamäť
trojice,trojica
vypracovala,vypracovala
výstavách,výstavách
náležitě,náležite
hořký,horký
engine,engine
představa,predstava
snížený,zredukovaný
tematicky,tematicky
naslouchat,počúvať
bratr,brat
spolupracovali,spolupracovali
průměrně,priemerne
sloupci,stĺpca
magazínu,magazínu
elektronické,elektronické
nabízených,ponúknutých
evropy,európy
spotřební,spotrebný
příjemný,mierny
vodní,vodná
topení,vykurovanie
doopravdy,naozaj
kuřácký,fajčiarsky
pořád,stále
měnit,meniť
provést,povysvetľovať
naplněn,naplnený
proslulý,vychýrený
oddanost,oddanosť
nadnárodní,nadnárodný
větší,väčší
nosítka,nosidlá
elektroniku,elektroniku
zóny,zóny
tvorba,tvorba
reagovat,reagovať
vyokácí,vypláca
překvapivě,prekvapujúco
výhodná,výhodná
snížený,obmedzený
řád,rad
rejstřík,register
seznamů,zoznamov
přirozený,prirodzený
přijímá,prijíma
preference,preferencie
lev,lev
více,viac
teplotách,teplotách
milosti,milosti
boubelka,bacuľka
stávající,súčasný
ultrazvuk,ultrazvuk
současný,súčasný
původní,originál
zavedený,zavedený
osídlení,osídlenie
pracovat,pracovať
přidány,pridaný
roce,roku
záchvat,záchvat
spolehlivý,neomylný
zblízka,zblízka
zákazníky,zákazníkov
membrána,membrána
pravděpodobnost,pravdepodobnosť
podepsat,podpísať
odmítnout,odmietnuť
tchýně,svokra
obvyklý,zvyčajný
společnost,spoločnosť
mléčná,mliečna
informace,informácia
jídelní,jedálenský
rozhodčí,sudcovia
omezený,obmedzený
dostávat,dostávať
listí,listov
stát,štát
také,tiež
rty,pery
svoboda,sloboda
statek,statok
pohromadě,pohromade
výrobce,výrobca
dokázat,uspieť
očekávané,očakávané
patřila,patrila
tančící,tancujúci
výrobci,výrobcovia
krejčí,krajčír
místo,miesto
ovladač,diaľkové
snížit,zmenšiť
tekuté,tekuté
předpověď,predpoveď
stýskat,chýbať
díky,dik
neuvěřitelný,neskutočný
tohto,tohto
lovit,loviť
období,doba
odpůrce,odporca
mozaiky,mozaiky
rušit,rušiť
ergonomicky,ergonomicky
jmenovat,volať
právní,právny
patřil,patril
svalové,svalové
zjevení,zjavenia
sestru,sestru
příloha,príloha
odvíjet,odvíjať
ukončení,ukončenie
ochránit,ochrániť
lednice,chladnička
soubor,súbor
úspěšný,úspešný
adaptivní,adaptívne
vysvětlivky,vysvetlivky
svatý,svätý
odsouzena,odsúdená
území,teritórium
středně,pomerne
změřit,odmerať
měnový,menový
zem,zem
chlubit,chváliť
zásobníky,zásobníky
průkaz,preukaz
prostředí,prostredie
pochopit,porozumieť
milost,milosť
nejvyšší,najvyšší
manžety,manžety
manželku,manželku
vysokým,vysokým
slavit,sláviť
který,ktorý
upozornila,upozornila
přijímání,prijímanie
trupu,trupu
momentu,momentu
vzbudil,vzbudil
předložit,podať
znát,poznať
umístěný,umiestnený
platící,platiaci
kdy,kedy
přemýšlet,uvažovať
pokusit,skúsiť
množství,množstvo
zedník,murár
jaro,jar
konkurence,konkurencia
příroda,príroda
přemístit,premiestniť
snadno,ľahko
zanikla,zanikla
posilovat,posilňovať
potomci,potomkovia
rybaření,rybolov
kupovali,kupovali
hrabě,gróf
nebeská,nebeské
semínka,semien
jméno,názov
vyznamenání,vyznamenanie
dík,ďakujem
skutečný,ozajstný
dněpru,dnepra
žízeň,smäd
nucen,nútený
poslední,posledný
objektivní,objektívny
tragédie,tragédia
metoděje,metoda
zuřivý,zúrivý
překvapivě,prekvapivo
prominentní,prominentný
těžký,hrubý
zkáza,skaza
ukončí,ukončí
nahrazovat,nahrádzať
říkat,vravieť
slot,slot
dorazit,doraziť
zacílení,zacielenie
skončit,skončiť
pozitivně,kladne
mechanického,mechanického
schválit,prijať
čistotu,čistotu
oddíl,oddiel
takzvaná,takzvaná
ukončení,prerušenie
spotřebitel,spotrebiteľ
najdete,najdete
vyvrcholila,vyvrcholila
topení,kúrenie
výzvou,výzvou
studio,štúdio
vězení,väznica
salát,šalát
zeleninové,zeleninové
smířit,zmieriť
tma,tma
nutit,nútiť
pořídit,dodať
krásnou,krásnou
čtenáři,čitatelia
současný,terajší
příští,budúci
související,súvisiaci
nést,vznášať
těžký,závažný
světlo,svetlo
možná,možná
držet,držať
mocný,mocný
protože,pretože
dopadnout,dochytiť
motorového,motorového
podivný,čudný
přísady,prísady
výbavu,výbavu
dorazit,dopiť
dávný,starodávny
taktiky,taktiky
odstraněn,odstránený
krev,krv
komorní,komorný
plýtvání,plytvanie
centralizace,centralizácia
spokojenost,spokojnosť
posílat,posielať
magie,mágia
houba,huba
pocházet,pochádzať
společnosti,firmy
probudit,prebrať
léto,leto
matriky,matriky
polévka,polievka
stýskat,cnieť
pořídit,obstarať
zrušila,zrušila
paže,ramená
schůzka,rande
vzniklo,vzniklo
konference,konferencia
rádoby,akože
tlustá,tučná
past,pasca
skvělý,ohromný
znamená,znamená
úředník,úradník
grant,grant
přinést,priniesť
studium,štúdium
oblečení,oblečenie
farma,farma
schvalování,schvaľovanie
nit,niť
strategických,strategických
skok,skok
snímání,snímkovanie
syrový,surový
verze,verzie
největší,najväčšie
pulec,žubrienka
obtížích,ťažkostiach
místní,miestni
neschopnost,neschopnosť
maska,maska
ostuda,hanba
existovalo,existovalo
sloučení,zlúčiť
prosinec,december
podezřelý,podozrivý
host,hosť
zabil,zabil
naprostý,bezvýhradný
usnadnit,uľahčiť
plíce,pľúca
fungovat,fungovať
předávat,odovzdávať
federace,federácia
nezletilých,neplnoletých
zvýšila,zvýšila
zúčastnilo,zúčastnilo
teplat,otepľovať
trochou,trochou
sci-fi,sci-fi
pouzdro,púzdro
rozsáhlý,široký
jenž,ktorý
nazývaný,nazývaný
zamítnuto,zamietnuté
ručník,uterák
štěstí,šťastie
později,neskôr
zjišťování,detekcia
toxické,toxické
říct,povedať
externí,vonkajší
odstartovat,odštartovať
dál,ďalej
nést,vanúť
doplněn,doplnený
dvě,dva
ostrovy,ostrovy
překročení,prekročenia
mocných,mocných
kuchyň,kuchyňa
poskytovat,poskytovať
odpovědi,odpovede
smích,smiech
sledovat,monitorovať
napadnout,napadnúť
klid,pokojnosť
ztrát,prehier
čestný,čestný
erotických,erotických
trhu,trhu
pouze,len
penzijní,penzijný
bezpečí,bezpečie
tělocvična,telocvičňa
hrála,hrala
konvenční,konvenčný
motivovat,motivovať
pokladna,pokladňa
přetažení,pretiahnutie
království,kráľovstvo
chytrý,múdry
listopad,november
odpovědět,odpovedať
hlavní,hlavný
vodní,vodný
povolení,povolenie
třikrát,trikrát
hormonální,hormonálny
mnoha,mnohé
opět,znova
játra,pečeň
grafických,grafických
provincie,provincia
drobek,omrvinka
kedlubna,kaleráb
půda,povala
přerozdělování,prerozdelenie
lídra,lídra
působit,pôsobiť
rovněž,takisto
tajemství,tajomstvo
slavit,oslavovať
nejnovější,najnovší
jmenovat,menovať
umělý,umelý
propagace,propagácia
podmínka,podmienka
tepelné,tepelné
útvary,útvary
shánět,zháňať
uplynulých,uplynulých
kuchyně,kuchyňa
peněženka,peňaženka
poezii,poéziu
