cs,sk
informace,info
neutrální,neutrálny
inteligence,inteligencia
zámek,zámka
přijít,nabrať
konopí,konope
rovnat,rovnať
přinášet,niesť
želva,korytnačka
nit,vlákno
lístek,lístok
odhalení,odhalenie
mobilní,mobilný
polibek,bozk
podzemí,podzemie
přebytek,prebytku
traktu,traktu
aktivně,aktívne
spustit,odštartovať
spí,spí
různý,rôzny
miloval,miloval
míchání,miešanie
kaple,kaplnka
manželů,manželov
polévky,polievky
milosrdenství,milosrdenstvo
případ,prípad
ihned,okamžite
fakulty,fakulty
odhalena,odhalená
strašné,hrozné
mistrovství,majstrovstvá
itálie,taliansko
nejspíš,najskorej
funkční,funkčné
výrobek,produkt
vápníku,vápnika
proslulý,preslávený
očištění,očistenie
dotaz,otázka
kojenců,dojčiat
fyziky,fyziky
táta,ocko
učitel,učiteľ
mise,misia
výprava,výprava
stálý,trvalý
revize,revízia
potřeba,potreba
registr,register
truchlící,pozostalých
připravena,pripravené
chybět,cnieť
padesát,päťdesiat
stánek,stánok
týkat,týkať
spolehlivost,spoľahlivosť
doporučený,odporúčaný
kontaktovat,kontaktovať
svědectví,svedectvo
finančně,finančne
zrušili,zrušili
nařídit,nastaviť
intelektuální,intelektuálne
vycházení,vychádzania
jestliže,ak
brožury,brožúry
zakázaných,zakázaných
ztracena,stratená
brabenec,mravec
erotické,erotické
nátěr,náter
pařez,peň
penzion,penzión
větší,väčšia
horký,horúci
protestující,protestujúci
schůzka,stretnutie
nahoru,hore
rampouch,cencúľ
udřít,udrieť
stavbách,stavbách
zaplatili,zaplatili
objev,objav
střední,stredná
používat,používať
obdivovat,obdivovať
naprostý,vyložený
řešit,zaoberať
tajemník,sekretár
stisknutí,stisnutie
tolerance,znášanlivosť
feat,feat
kanonizace,kanonizácia
etika,etika
dávný,dávny
stisknout,stlačiť
skončit,dopadnúť
diskuse,debata
přísnost,vážnosť
value,value
profesní,profesný
provést,vykonať
přípravy,prípravy
stádo,stádo
potřeboval,potreboval
řepa,cvikla
tři,tri
obránci,obhajcovia
pomůcka,pomôcka
označovat,označovať
socialistického,socialistického
univerzitu,univerzitu
řízek,rezeň
listiny,listiny
městečko,mesto
strategické,strategické
sen,sen
informovanost,informovanosť
pokoušet,pokúšať
modelu,modelu
odmítnout,zamietnuť
největší,najväčší
důvěrný,dôverný
zúčastnili,zúčastnili
současný,moderný
trávení,trávenie
předložit,predložiť
transportu,transportu
příznak,symptóm
navštívila,navštívila
super,super
půjčka,pôžička
olivie,olivia
upřesnit,upresniť
včetně,včítane
dopadnout,dobehnúť
kdysi,kedysi
krásný,krásny
správný,poriadny
úmrtí,smrť
zkrátit,skrátiť
hřbitov,cintorín
eliminovat,odstrániť
dozvědět,dozvedieť
současný,prítomný
vaku,vaku
teplých,teplých
firmy,firmy
zpoždení,opozdenie
storno,storno
značné,značné
cokoliv,hocičo
zralý,dospelý
smlouva,dohoda
výhled,výhľad
hrnek,hrnček
zájemce,záujemca
patro,poschodie
speciální,špeciálna
trávit,tráviť
fandit,fandiť
byli,boli
dříve,skôr
rytíř,rytier
stanovit,určiť
regulační,regulačný
zvolení,zvolení
odvolání,odvolanie
přednáška,prednáška
složité,komplexné
detailní,podrobný
padnout,pripadnúť
nikdo,nikto
možností,možností
zmíněna,spomenutá
tygr,tiger
chvění,chvenie
křídlo,krídlo
útulek,prístrešok
variantu,variantu
stálý,stály
předplatné,predplatné
poseltství,posolstvá
zde,tu
pupek,pupok
podivný,zvláštny
více,viacej
energetika,energetika
mlha,hmla
sezona,sezóna
uložení,ukladanie
odměny,odmeny
přijet,prísť
jisté,istí
hejno,kŕdeľ
trénoval,trénoval
současný,súbežný
předložit,navrhnúť
kalhoty,nohavice
přítel,frajer
kávy,kávy
zárukou,zárukou
pletení,pletenie
historie,histórie
údržba,údržba
stupeň,stupeň
díky,diky
dočkat,dočkať
obchodování,obchodovanie
rostliny,rastliny
endokrinologie,endokrinológia
ukládání,ukladanie
skřivánek,škovránok
pěna,pena
tajemník,tajomník
ukazovat,ukazovať
kreslení,kreslenie
soutěž,súťaž
převládající,prevládajúci
financování,financovanie
neuvěřitelný,neuveriteľný
rovněž,taktiež
nach,nach
pozice,pozícia
předložit,predniesť
prostě,prosto
lidský,ľudský
systém,systém
převod,prevod
fenomenální,fenomenálny
štola,štôlňa
obvykle,spravidla
stroje,stroje
zapnout,zapnúť
pořídit,získať
mouka,múka
váhat,otáľať
váhat,váhať
loupež,prepad
byly,boli
