et,sk
nõuandev,poradný
venitus,preťahovanie
kutsealune,branec
šampoon,šampón
süüdistus,žaloba
üürnik,nájomník
käskima,nariadiť
pisar,kvapka
hinnang,ocenenie
redis,reďkev
lõppema,uhynúť
poepidaja,obchodník
dekodeerima,dekódovať
eelaste,profáza
autoriõigus,copyright
ükssada,sto
habe,fúzy
seismine,zastávka
nisu,žito
joodik,opilec
triaad,trojica
köitma,sputnávať
puiestee,aleja
sõimama,zvoziť
vajama,potrebovať
varatus,bieda
teatama,oznámiť
algul,najprv
protseduur,procedúra
basaar,bazár
argpükslikkus,zbabelosť
seeme,semeno
disainer,návrhár
näidustus,indikácia
vaas,váza
vihane,nahnevaný
kirjutama,písať
kasulik,potrebný
brändi,brandy
vihaselt,naštvane
püüdma,snažiť
närukael,zloduch
õlekõrs,slama
juhtima,šoférovať
tõrkuv,neochotný
müürsepp,murár
paistma,svietiť
võimalikult,možne
püree,pretlak
medal,plaketa
rääkima,hovoriť
intellektuaal,intoš
ventiil,ventil
valdkond,odbor
rühm,čata
vastama,opätovať
lesbi,lesbička
lahutatus,izolácia
sümpaatsus,súcit
päkapikk,trpaslík
juhtkond,rada
saade,relácia
pangaautomaat,bankomat
keskpäev,poludnie
arve,faktúra
registratuur,podateľňa
kesv,jačmeň
labidas,rýľ
uhke,hrdý
nimetus,názov
säilitama,udržiavať
peal,na
püree,pyré
vaevapalk,odmena
koorem,bremeno
praad,pečienka
magus,sladký
gospel,evanjelium
esineja,účinkujúci
etanool,etylalkohol
raiskav,nehospodárny
läbipääs,priechod
rivaal,rival
rajakas,podliak
pidulik,slávnostný
tahtmine,chuť
purunema,prasknúť
ilus,krásny
tunduma,pripadať
kukkuma,dopadnúť
pärastlõuna,poobedie
printsess,princezná
nöör,šnúrka
mõnevõrra,trocha
asümmeetriliselt,asymetricky
tagajärg,výsledok
eelnevalt,vopred
hammustama,pohrýzť
rõhk,tlak
kamar,kôra
kolakas,kolos
pagulane,utečenec
ajastu,éra
puhtand,čistopis
lõngaõli,vitriol
reform,reforma
startima,štartovať
võimlema,cvičiť
lähedal,neďaleko
kahepalgelisus,neúprimnosť
eessõna,predložka
olevik,súčasnosť
edel,juhozápad
juhtima,viesť
ühendus,jednota
juht,šofér
isa,otec
kokkulepe,dohovor
suuliselt,verbálne
kohal,prítomný
asjatu,márne
tülitama,otravovať
alaldi,usmerňovač
intress,úrok
dolomiit,dolomit
kett,reťaz
roid,vysilenie
silm,oko
pidama,zdržiavať
natuke,troška
teismeline,mladistvý
pidama,musieť
vanaema,babka
tuju,nálada
oskuslik,skúsený
äri,biznis
teler,televízia
seisak,nečinnosť
veekindel,vodeodolný
koosseis,zostava
seeder,céder
kõht,brucho
professor,profesor
ta,ona
piirijoon,hranica
tütar,dcéra
radiaator,radiátor
saama,dostať
kibe,horký
ustavalt,verne
seos,spojitosť
seesam,sézam
äkki,zrazu
juhend,manuál
pärilik,dedičný
realiseerima,realizovať
saaja,príjemca
sõltumatus,nezávislosť
tõeselt,pravdivo
ärimees,podnikateľ
teadmatus,neinformovanosť
määratlema,špecifikovať
neiu,dievča
tohutu,ohromný
detsember,december
rääkima,porozprávať
mässaja,rebel
trepikoda,schodisko
memm,mamka
müümine,predaj
kirjeldama,opisovať
sümptom,príznak
tuline,vrelý
aplaus,aplaus
pikk,vysoký
mõru,horký
liitumine,fúzia
oksüdeerumine,oxidácia
suhtlemine,komunikovanie
kataloog,adresár
ülevaade,prehľad
jooksul,počas
ettekääne,zásterka
vasak,ľavý
vahendus,sprostredkovanie
nisu,pšenica
ängistus,úzkosť
saama,poberať
põletik,zápal
omand,vlastníctvo
keiserlik,cisársky
nelikümmend,štyridsať
pärisorjus,poddanstvo
liitumine,anektácia
jäänukid,zvyšky
teksad,nohavice
julge,smelý
unistus,sen
soldan,vojak
paigaldamine,rozvod
areekapalm,areka
riided,šatstvo
reklaamima,robiť reklamu
seos,súvislosť
määr,limit
hõrk,vyberaný
inimiga,pokolenie
lahku,zvlášť
kanal,kanál
kivi,hornina
ioota,jota
kuulikindel,nepriestrelný
makse,platba
saatkond,vyslanectvo
üheksasada,deväťsto
šifoon,šifón
vahelduvvoolugeneraator,alternátor
tunked,kombinéza
tsükkel,obdobie
joon,línia
jooksma,behať
mälu,pamäť
isoleeritus,odlúčenosť
aadress,adresa
subsiidium,príspevok
loomalikult,beštiálne
ristilöömine,ukrižovanie
abielunaine,žena
prolaps,pokles
pidev,neustály
varjama,cloniť
uurimine,bádanie
varastama,kradnúť
klassifikatsioon,klasifikácia
pakkuma,poskytovať
noogutama,prikyvovať
ports,dávka
koolibri,kolibrík
tüli,konflikt
pedaal,pedál
erapoolik,predpojatý
nägema,zazrieť
tahke,pevný
parkimine,parkovanie
võtma,užívať
sõõrik,šiška
pöördumine,oslovenie
penss,dôchodok
kauss,misa
kõik,všetok
ühendama,spojiť
huviline,záujemca
üle,nad
seevastu,hoci
korpus,korpus
refektoorium,refektár
keraamika,hrnčiarstvo
graniit,žula
sulgemine,zatvorenie
onu,strýko
vastama,odpovedať
multimeedia,multimediálne
äkki,náhle
mitmus,plurál
tootlikult,produktívne
tere tulemast,vitajte
tegevusetus,nečinnosť
meelitama,priťahovať
käskima,rozkázať
ringi,dokruhu
võltsima,sfalšovať
hiiglane,obor
teler,televízor
rahulikkus,pokoj
katki,pokazený
lusikas,lyžica
köha,kašeľ
kinnisvara,nehnuteľnosť
plaaster,náplasť
varastama,vykradnúť
neutron,neutrón
volitamata,neoprávnený
selge,výrazný
tahke,tuhý
rändlev,kočovný
liblikas,motýľ
täielikult,celkom
taas,znova
nägemiseni,dovidenia
juuksed,vlasy
määratud,menovaný
hinnang,posudok
õnnitlema,blahoželať
villane,vlnený
käsitöö,remeselný
efedriin,efedrín
kokku,spolu
troon,trón
triangel,trojuholník
muidugi,samozrejme
põllumees,roľník
lein,žiaľ
lisaaeg,predĺženie
halloo,ahoj
säilitama,zachovať
suunduma,dať
julgeolek,zabezpečenie
kuri,zlý
püriit,pyrit
võtma,zabrať
asjatu,márny
laen,zápožička
jätkusuutlikkus,udržateľnosť
ringkond,obor
vanur,starec
võtma,brať
määratlema,definovať
töötav,pracovný
polüstüreen,polystyrén
täna,dnes
gaasistuma,splynovať
näitus,expozícia
despootlik,despotický
kokaiin,kokaín
kaklus,zápas
õudne,hrozný
pööre,prelom
lahku,oddelene
kõik,všetky
rätsep,krajčírka
sponsor,stúpenec
kodumaa,domovina
vaid,jedine
pruut,nevesta
molbert,stojan
harva,málokedy
naeruväärselt,smiešne
lapsuke,dieťa
õnnelikult,šťastne
organ,orgán
unustama,zabudnúť
tülitama,obťažovať
laduma,naskladať
ristsõna,krížovka
liigendama,analyzovať
lill,kvet
etapp,fáza
hinnang,hodnotenie
promeetium,prométium
nägu,tvár
teekond,cesta
vaidlema,hádať
botaanik,botanik
laat,trh
võltsima,falšovať
nõid,striga
tolmuimeja,vysávač
alpinist,horolezec
võrdeline,úmerný
etaan,etán
lämbuma,udusiť
kukkuma,prepadnúť
buteen,butén
haprus,krehkosť
verine,krvavý
pronks,bronz
seismine,státie
happesus,kyslosť
ettekääne,zámienka
minevik,minulosť
radioaktiivsus,rádioaktivita
kuldne,zlatý
suruma,tlačiť
olema,existovať
töötamine,fungovanie
massaaž,masáž
tegutsema,vykonávať
korter,byt
esitlus,predstavenie
puuk,kliešť
lööma,zabuchnúť
operatsioon,operácia
pullover,pulóver
peaosa,hlava
puru,peniaze
kisakõri,krikľúň
käituma,správať
haav,zranenie
kaugnägelikkus,ďalekozrakosť
antud,daný
kuskil,niekde
õnnitlus,gratulácia
alkohoolik,ožran
koostama,vypracovať
lisama,priložiť
hullus,bláznivosť
vili,plod
šassii,podvozok
hapu,kyslý
harfist,harfeníčka
ahastus,úzkosť
märkama,spozorovať
servik,okraj
minevik,minulý čas
kihutustöö,propaganda
edutult,neúspešne
saadik,poslanec
kaitse,obhajoba
pistma,šupnúť
konvoi,konvoj
mõistma,rozumieť
koos,pohromade
laialt,dokorán
puhuma,pofúkať
virisema,fňukať
vähe,málo
hoidmine,úschova
inetu,ohavný
armiline,zjazvený
pidev,sústavný
nool,šíp
tuul,vietor
sõrmkindad,rukavice
ristikäik,kláštor
