et,sk
abivalmis,užitočný
professionalism,profesionalizmus
karp,krabica
inspireerima,inšpirovať
tehas,fabrika
võim,vláda
vihje,náznak
graaf,graf
organisatsioon,organizácia
karbamiid,močovina
ajajärk,doba
pretsedent,precedens
varastama,ukradnúť
ligidus,blízkosť
natuke,trošku
vedelik,tekutina
deriveeritud,odvodený
katki,rozbitý
traditsioon,tradícia
kasulik,užitočný
ülemaailmne,globálny
lihapall,karbonátok
pilk,pohľad
vend,brat
edendama,podporovať
pleier,prehrávač
vaesus,chudoba
eksklusiivne,výhradný
korruptsioon,korupcia
lahti võetav,oddeliteľný
sisutihedalt,stručne
pääsema,vyviaznuť
ülbus,namyslenosť
juhtimine,riadenie
ligikaudu,približne
limonaad,limonáda
tarbija,spotrebiteľ
puru,prachy
jope,bunda
lööma,tepať
süsteem,systém
jõuline,prudký
nõrgenema,oslabiť
vaid,iba
kuupmeeter,kubík
vasakult,zľava
võrreldamatu,neporovnateľný
riie,plátno
kuidas,ako
ähvardama,hroziť
põhiarv,mocnenec
hilja,neskoro
toode,produkt
pühendama,zasvätiť
vastastikune,vzájomný
haldur,dozorca
toores,surový
mõlemad ,obidva
kõlapind,dopad
süüdistus,stíhanie
tuumor,tumor
meister,odborník
õppe,študijný
elektromeeter,elektromer
hooajaline,sezónne
pillimängija,muzikantka
toores,brutálny
haav,rana
hilinema,omeškať
ujuja,plavec
arenemine,evolúcia
õnnitlus,blahoželanie
mõttetult,zbytočne
neljas,štvrtý
tuline,vrúcny
pöörduma,zahnúť
raamatupood,kníhkupectvo
lohakas,nedbalý
konsulaat,konzulát
tavaline,bežný
vili,obilie
lill,kvetina
kohtumaja,súd
truu,verný
despootlikult,despoticky
valvur,strážný
elastiin,elastín
adapteerima,prispôsobiť
talje,driek
kompromiss,kompromis
märkama,vypozorovať
teostama,uskutočňovať
järsk,príkry
heledasti,žiarivo
kajastama,odrážať
lell,strýko
hellitus,maznanie
remont,prestavba
põgenema,utiecť
vooruslikkus,nevinnosť
kindel,presvedčený
soome,fínsky
nõrgenema,zoslabnúť
glükoos,glukóza
kõiketeadev,vševedúci
seni,zatiaľ
üür,nájomné
agressiivselt,agresívne
külmutuskapp,chladnička
uustulnuk,začiatočník
riivima,nastrúhať
arbiiter,rozhodca
närukael,lump
toode,výrobok
valima,vybrať
tädi,teta
töötlema,upravovať
konkurents,konkurencia
väljavalitu,ženích
isiksus,osobnosť
immigrant,imigrant
tasand,úroveň
teadaolev,známy
reageeriv,citlivý
liit,únia
häbitult,nehanebne
rohkem,viac
rosmariin,rozmarín
loomulikult,pochopiteľne
nutma,plakať
sõimama,sfúknuť
grammofon,gramofón
kortik,ramienko
tugev,silný
viivitus,zdržanie
vihmavari,dáždnik
sitt,nečistota
rätsep,krajčír
satiir,satira
psühholoogia,psychológia
allianss,aliancia
ebatüüpiliselt,atypicky
leedu,litovský
ujumine,plávanie
lennundus,letectvo
säilitama,zachovávať
rambus,únava
mulje,dojem
afaasia,afázia
kraav,priekopa
olevik,prítomnosť
palm,dlaň
pood,predajňa
ropp,oplzlý
tunduma,javiť
gambiit,gambit
sodomiit,sodomista
prillid,okuliare
tipp,vrchol
praam,prístav
veekindel,vodotesný
laat,veľtrh
konsool,konzola
kustutama,hasiť
kajut,kajuta
kallis,zlatý
saak,úlovok
genoom,genóm
siit,odtiaľto
ühistransport,hromadná doprava
lüüriline,lyrický
praadima,usmažiť
tabamus,zásah
sümpoosion,sympózium
teismeline,teenager
rahaliselt,peňažne
ümbermõõt,obvod
kustutama,zotrieť
koos,spolu
osavõtja,účastník
langus,ubúdanie
lapseiga,detstvo
kustutama,zhasnúť
proua,pani
niivõrd,natoľko
nool,šípka
termostaat,termostat
sunnitud,vynútený
taas,zas
põhinema,zakladať
tomat,paradajka
muna,vajce
järelikult,teda
lell,ujo
ristama,krížiť
raevutsema,zlosť
koos,vrátane
rootslane,švéd
hõrk,lahodný
toimetamine,editácia
igatsus,túžba
kaksikud,blíženci
vanus,vek
hall,sivosť
filosoofia,filozofia
saadik,posol
järk,štádium
valima,voliť
tänapäev,dnešok
vaesus,bieda
puhastamine,čistenie
tunnistama,vypovedať
puu,strom
ringkond,doména
pidžaama,pyžamo
vihaselt,rozčúlene
erapooletu,nestranný
nõue,požiadavka
joodik,korheľ
autoklaav,autokláv
täpsustama,upresniť
kunst,umenie
triip,prúžok
värving,odtieň
lööma,biť
suunduma,smerovať
statistiliselt,štatisticky
palavikuliselt,horúčkovito
jutt,čiara
haamer,kladivo
nähtus,jav
tipp,špička
istutama,zasadiť
kurvameelsus,smútok
piisama,stačiť
paremalt,sprava
voor,kolo
ratifitseerimine,ratifikácia
kaitsevõime,nevnímavosť
ligipääsetavus,prístupnosť
ninamees,šéf
pööre,obrat
sõimama,znosiť
kurnatus,únava
unustatud,zabudnutý
julge,statočný
tohutu,obrovský
virgutav,osviežujúci
mitmus,množné číslo
moosekant,hudobník
lapsendamine,prijatie
paavst,pápež
kinkanipuu,kumkvat
rumalalt,hlúpo
orv,vychlípenina
käterätt,uterák
aerosool,aerosól
sentiliiter,centiliter
väejooksik,zbeh
matkaja,hiker
kleit,šaty
kohv,káva
õiglane,férový
seletama,vysvetliť
strukturalism,štrukturalizmus
plaan,plán
kõrgem ohvitser,generál
telegramm,telegram
tähtsusetu,irelevantný
järeltulijad,následovník
pääsema,vymaniť
puhuma,trúbiť
põllumees,poľnohospodár
informant,informátor
kirg,vášeň
iiri,írsky
kuninganna,kráľovná
neljateistkümnes,štrnásty
vedel,riedky
sündima,donútiť
umbes,asi
struktuur,štruktúra
poeem,báseň
kinnisvara,reality
suusatama,lyžovať
köhima,kašľať
kumm,guma
aristokraatlikult,aristokraticky
põldlõoke,škovránok
pühkmed,odpadky
pealtvaataja,prizerač
ignorantne,neznalý
taltsutaja,krotiteľ
populaarne,populárne
heitma,nahodiť
jaotama,prideliť
istekoht,miesto
pank,banka
inetu,škaredý
ületama,zdolať
linn,mesto
tähelepanelikult, šetrne
subtiiter,titulka
sirgelt,spriama
ühendama,zjednotiť
tahe,vôľa
piisavalt,dosť
vedel,kvapalný
nukrus,smútok
järelkasv,potomok
orkester,orchester
viima,zaviezť
lumine,zasnežený
parkima,parkovať
altkäemaks,úplatok
palvevend,kazateľ
pakkuma,ponúkať
salmonella,salmonela
külmavereliselt,chladnokrvne
valmistama,nachystať
töötlemine,spracovanie
seevastu,napriek
tudeng,študent
hoolekanne,blaho
tingima,zjednávať
heitma,vrhnúť
tüüpiliselt,typicky
jutukas,zhovorčivý
okeanograaf,oceánograf
tugev,ťažký
sport,šport
neiu,slečna
hügieen,hygiena
pinge,napätie
harjutama,cvičiť
mujale,inam
vaade,vyhliadka
mõnevõrra,trošku
võtma,vziať
liigkasuvõtmine,úžera
matkaja,turista
märkama,zahliadnuť
nats,nacista
kallis,miláčik
kaevik,priekopa
põnev,napínavý
heli,zvuk
kahanemine,úbytok
koorima,ošúpať
plaaster,obväz
õnnitlema,gratulovať
prints,princ
mõistlikult,rozumne
sealt,odtiaľ
väide,tvrdenie
liiklusmärk,značka
lammutama,zdemolovať
võlg,dlh
ka,aj
võlu,šarm
mesilane,včela
rahvus,národ
ühesugune,jednoliaty
õhtupoolik,podvečer
mõnevõrra,trochu
seaduslik,zákonný
raviarst,lekár
sokk,srnec
kantselei,kancelária
igatahes,rozhodne
joon,čiara
inglanna,angličanka
kruustangid,zverák
lammutama,zbúrať
põnev,fascinujúci
otstarve,účel
koos,spoločne
kohutav,desivý
sundhirm,fóbia
jünger,učeník
hunt,vlk
vend,braček
tühistamine,storno
tarbija,konzument
poliitiline,politický
tualett,záchod
läbirääkimine,vyjednávanie
diagramm,diagram
müristama,hrmieť
isiklikult,osobne
tootma,vyrobiť
topoloogia,topológia
sonaat,sonáta
hall,šedivý
külaskäik,návšteva
sära,lesk
reklaam,reklama
kordama,zopakovať
sulgemine,zastavenie
üles,nahor
albiino,albín
ebavõrdsus,nerovnosť
keeld,zákaz
harva,zriedka
püüdma,lapať
komöödia,komédia
õigus,nárok
vererõhk,krvný tlak
lisajõgi,prítok
kaitse,obrana
istutama,vysadiť
elu,život
petma,mámiť
rääkima,rozprávať
olematus,neexistencia
gorilla,gorila
allkiri,podpis
kadett,kadet
viivuke,chvíľa
nägema,pozrieť
elutark,múdry
võlakiri,zmenka
barrikaad,barikáda
püü,jarabica
laenama,vypožičať
meelitama,lákať
tava,obyčaj
kvadratuur,kvadratúra
vanaisa,starý otec
hõrk,delikátny
vare,kopa
koostama,zostaviť
keskkool,stredná škola
tõlkija,prekladateľ
siis,potom
üllatama,prekvapiť
lävi,prah
segisti,mixér
emiir,emir
vatt,vata
piisama,vystačiť
siinusfunktsioon,sínusoida
põhinema,vychádzať
annetaja,darca
kolossaalne,kolosálny
petma,podviesť
auahne,ctižiadostivý
müts,čapica
imperialistlik,imperialistický
külmetama,oziabať
kops,pľúca
näljahäda,hladomor
laenutama,požičať
teadmatus,neznalosť
meelitama,pritiahnuť
kokkupõrge,konflikt
sümbolism,symbolizmus
seisak,pauza
uurimine,vyšetrovanie
hommik,ráno
võistkond,mužstvo
tabamus,hit
vahetu,bezprostredný
häbematu,drzý
perfektsionism,perfekcionizmus
suunduma,hlava
tualettruum,toaleta
kunagi,niekedy
reformija,reformista
hoolimata,napriek
ütrium,ytrium
liit,spojenectvo
vanaema,starká
harilikult,zvyčajne
kristlik,kresťanský
keegi,niekto
teenindama,obslúžiť
külmetama,mrznúť
vaip,koberec
riigistama,znárodniť
käsnjas,hubovitý
brošüür,brožúra
mongoli keel,mongolčina
grammatiliselt,gramaticky
üheksateist,devätnásť
usaldus,dôvera
umbes,približne
astrofüüsik,astrofyzik
valmistama,pripraviť
koostama,spísať
tekst,text
seitsmes,siedmy
sotsialism,socializmus
tellimus,predplatné
süda,srdce
tolmulapp,prachovka
mõlemad ,oba
udune,rozmazaný
murelik,ustaraný
röövima,vykradnúť
