et,sk
tagajärg,účinok
kelle,čí
jõhvikas,kľukva
vastupidine,opačný
versioon,verzia
konstant,konštanta
hammustama,pohryznúť
meditsiin,lekárstvo
laminaat,laminát
lihavõtted,veľká noc
käesolev,dnešný
rahakott,peňaženka
hullus,šialenosť
harakas,straka
õhutamine,podnecovanie
kindlasti,isto
kordama,opakovať
julm,brutálny
varjama,skrývať
teatama,ohlásiť
atsükliline,acyklický
juht,vodič
nägema,vidieť
teenistuskäik,kariéra
akromaatiline,achromatický
pistma,vsunúť
põlvnevus,klesanie
ohtlik,nebezpečný
töötlemine,upravovanie
vöö,pás
siit,stadeto
kalju,útes
moodne,moderný
soe,teplo
professionaalne,profesionálny
kortermaja,činžiak
viaal,ampulka
staatiline,statický
rebane,líška
autopiloot,autopilot
troll,trolejbus
omadus,vlastnosť
kuningas,kráľ
võrreldamatult,neporovnateľne
tapja,zabijak
ähvardama,vyhrážať
ülitundlikkus,precitlivenosť
võimatu,nezrealizovateľný
reguleerima,nastaviť
moosekant,hráčka
indiviid,jednotlivec
kustutama,vymazať
peatus,odročenie
koos,s
siis,následne
regulaarselt,pravidelne
luustuma,skostnatieť
juhend,inštrukcia
lapsehoidja,babysitter
peapööritus,závrat
side,spojka
vanaema,babička
kommentaar,komentár
mahajäetud,opustený
mugavus,pohodlie
sündima,prinútiť
otsaesine,čelo
meerik,zapisovač
prisma,hranol
vahekord,styk
päästmine,záchrana
pääsema,dostať
retort,odseknutie
naistevihkaja,mizogýn
teksad,džínsy
hiir,myš
üksus,jednotka
roidumus,únava
mari,bobuľa
jäär,baran
jutustama,rozprávať
valitseja,panovník
pealkiri,nadpis
sensuaalsus,zmyselnosť
parisnik,podfukár
inimesed,ľudia
tähelepanelik,ohľaduplný
lahendus,riešenie
nutikas,bystrý
suunduma,zamieriť
haritlane,intelektuál
seemnealge,ovulum
lõpp,zakončenie
maksja,platič
sõidutee,vozovka
helilooja,skladateľ
tualett,toaleta
porgand,mrkva
parem,lepší
proosaline,prozaický
põhimõtteliselt,zásadne
akušöör,pôrodník
foneetika,fonetika
rohttaim,bylina
vastukaja,dopad
trellpuur,vrták
konn,žaba
tervisekahjustus,choroba
oks,vetva
unifitseeritud,zjednotený
komme,zvyk
tüliasi,spor
läbirääkimised,rokovanie
perfektsionist,perfekcionista
pikendus,predĺženie
ülekanne,vysielanie
võrk,sieť
ülekäigurada,zebra
viima,odviesť
kollaps,kolaps
haud,hrob
kultiveerima,pestovať
häda,trhlina
kantselei,pracovňa
noogutama,pokyvovať
lööma,priraziť
pikk,dlhý
täpsustama,spresniť
lähedalt,úzko
igapäevane,všedný
proov,skúška
demograafiline,demografický
jõhkard,surovec
pehme,mäkký
kahju,poškodenie
nukleotiid,nukleotid
müük,predaj
võimlema,zacvičiť
rahvas,ľud
joon,črta
vihje,narážka
evolutsioon,evolúcia
kanvaa,plátno
teismeline,násťročný
entomoloogia,entomológia
kodutu,bezdomovec
termin,termín
koolon,kolóna
silmamarjad,trachóm
tarvis,potreba
koristama,upratať
liha,mäso
reha,hrable
kondenseeruma,kondenzovať
häda,trápenie
tervis,zdravie
kork,viečko
valima,zvoliť
tsütoplasma,cytoplazma
hall,sivý
väljavalitud,vybraný
jaa,áno
kandejõud,nosnosť
ullike,hlupáčik
empirism,empirizmus
lisavarustus,príslušenstvo
lambad,ovce
vähem,menej
püüdma,loviť
vaid,no
jumal,boh
suurenemine,vzostup
heitma,mávnuť
hammustama,odhryznúť
rajoon,rajón
piimanaine,mliekár
rivaal,sok
selge,jasný
piiratud,obmedzený
kilo,kilogram
näiliselt,zrejme
täht,hviezda
natuke,trocha
tunne,zmysel
väljaanne,vydanie
kloriid,chlorid
töötus,nezamestnanosť
konklaav,konkláve
saama,vyťažiť
õpetamine,vyučovanie
juunior,junior
topsisõber,pijan
pukk,podstavec
päev,deň
kultiveerimine,pestovanie
legend,legenda
sünoptiline,prehľadný
komplekt,komplet
tähelepanelikult, ohľaduplne
