et,sk
mägironimine,horolezectvo
otsustama,rozhodnúť
ilmakaar,svetová strana
kahjustama,poškodiť
raevukas,zúrivý
pealtvaataja,divák
pidama,držať
audients,publikum
rong,vlak
löökpillimängija,perkusionista
kihlatu,zasnúbený
messing,mosadz
õun,jablko
tuliselt,vášnivo
kunstnik,umelec
homne,zajtrajší
võileib,sendvič
ebatervislik,nezdravý
masendus,depresia
lammutama,zvrhnúť
saadik,delegát
kuum,horúco
ühekordne,jednorazový
raamatukogu,knižnica
vaidlema,prieť
tohlakas,hlupák
meil,email
väike,drobný
korduv,opakovaný
ingel,dobrák
medal,medaila
võime,sila
sammud,kroky
laenutama,zapožičať
hammustama,hrýzť
muundama,premeniť
ballast,balast
karp,mušľa
saarlanna,ostrovanka
vigastus,zranenie
tuuker,potápač
ühistransport,doprava
vooruslikkus,bezhriešnosť
võimekas,schopný
teismeline,tínedžer
laen,výpožička
emps,mamička
teadlik,vedomý
ette valmistamata,nepripravený
referaat,referát
kompanjon,spoločník
kaotus,prehra
pidama,prevádzkovať
pääsuke,lastovička
pidamine,udržiavanie
galerii,galéria
sama,rovnaký
julgeolek,bezpečnosť
poom,výložník
lohutus,útecha
praktiline,praktický
juhtima,zaviesť
köhima,zakašľať
ahing,gig
lapsehoidja,pestúnka
lisama,doplniť
küüditatu,vyhnanec
laud,doska
kestma,trvať
näiteks,napríklad
pesema,vyprať
blamaaž,nemilosť
haru,odvetvie
grillima,grilovať
kirjalik,písomný
seen,huba
teravili,obilnina
kronomeeter,chronometer
oskama,dokázať
ringlev,obežný
kassa,kasa
põhinema,založený
taha,dozadu
nimetu,bezmenný
mullune,vlaňajší
kodustama,skrotiť
greip,grapefruit
tundmine,cítenie
kuupsentimeeter,mililiter
neliteist,štrnásť
lontrus,lump
lõdvalt,voľne
knihv,trik
päike,slnko
vaheldus,zmena
õbluke,štíhly
kolask,kolos
jõulud,vianoce
samm,krok
kolimine,sťahovanie
pidama,mať
vaim,vedomie
elatusvahend,živobytie
kuhelik,halda
teras,oceľ
viivitus,omeškanie
inglane,angličan
kange,mocný
seeria,séria
sukkpüksid,pančucha
pistma,napichnúť
sügavus,hĺbka
teraapia,terapia
neologism,neologizmus
klaassepp,sklár
segama,miešať
tegelema,zaoberať
punkt,stanovište
psühholoog,psychológ
triumviraat,triumvirát
asjatundlikkus,odbornosť
vanaema,stará mama
kondine,kostnatý
linakarva,ľanový
sama,zhodný
ilmateade,predpoveď počasia
loomaliha,hovädzie mäso
uurimine,skúmanie
esindatus,znázornenie
tavaline,zvyčajný
kuueteistkümnendik,šestnásty
öökull,sova
liialdatud,prehnaný
väsitav,únavný
restauratsioon,renovácia
õhtu,večer
tennisemängija,tenista
tapmine,zabitie
vang,zajatec
farmer,poľnohospodár
igasugune,rozličný
streik,štrajk
raev,zloba
tüli,hádka
vöö,remeň
kork,zátka
läbirääkimine,rokovanie
ühendama,zlúčiť
tähtsusetu,bezvýznamný
part,kačica
sagedus,početnosť
meeter,meter
liigutama,dojať
voolama,tiecť
teaduskond,fakulta
raha,peniaze
oskuslik,šikovný
juriidiline,právnický
määratlema,vymedziť
kaks,dva
sohk,podvod
peale,na
laen,pôžička
laud,stajňa
remont,oprava
sündsus,slušnosť
ametnik,úradník
uba,fazuľa
terrorist,terorista
sümbol,symbol
õpingud,štúdium
spetsiifiline,špecifický
tõug,plemeno
mitu,niekoľko
tõbi,choroba
