et,sk
kokkupõrge,potýčka
alkeemik,alchymista
enesemääramine,samospráva
jope,sako
anorak,vetrovka
nad,oni
instinkt,inštinkt
lubatav,prípustný
päevane,denný
jätkusuutlik,udržateľný
ratastool,invalidný vozík
aedmaasikas,jahoda
husaar,husár
rünnak,nápor
kott,mech
kolmemõõtmeline,trojrozmerný
šokolaad,čokoláda
tütarlaps,dievčatko
ports,množstvo
plats,pľac
inimõigused,ľudské práva
peale,navrch
umbes,okolo
detsigramm,decigram
animeerima,oživiť
kihutama,rútiť
koorima,okrájať
tõsiasi,fakt
lugija,kazateľ
saadik,vyslanec
praad,jedlo
notar,notár
üksnes,výlučne
lakkekrants,opilec
tegelikkus,realita
hais,smrad
tujukas,náladový
kümnes,desiaty
kontinentaalne,kontinentálne
kala,ryba
porrulauk,pór
potentsiaalselt,potenciálne
ropp,špinavý
naine,žena
tiigel,kelímok
emigratsioon,emigrácia
kukkuma,zapadnúť
kategooriline,rozhodný
absoluutne,absolútny
paistma,pripadať
pillimees,hudobník
pettuma,sklamať
sündinud,narodený
mängima,zahrávať
järelkäija,stúpenec
mõnevõrra,troška
väliselt,zvonka
morfiin,morfium
peale,okrem
karantiin,karanténa
hinnang,zhodnotenie
ülesanne,príklad
käepide,rukoväť
jõudma,stihnúť
pidev,kontinuálny
vahendaja,špiritista
muld,zemina
koridor,chodba
laiendama,rozšíriť
lokaator,vyhľadávač
sõit,jazda
keha,telo
keskel,medzi
kärsitu,netrpezlivý
kakssada,dvesto
valgendi,bielidlo
kiudaine,vláknina
anoreksia,anorexia
televisioon,televízor
sügelema,svrbieť
sõjamees,bojovník
lakei,lokaj
elupõlv,životnosť
nali,vtip
tahtmine,chcenie
lootma,spoľahnúť
niimoodi,takto
kallis,milý
noor,mladý
valdkond,región
petrooleum,ropa
püüdma,usilovať
katastroofiliselt,katastroficky
naljakas,vtipný
pöörduma,uchýliť
jutumeister,narátor
oja,potok
eliksiir,elixír
nähtavalt,viditeľne
