et,sk
abajas,zátoka
absolutism,absolutizmus
ajam,pohon
alanemine,úpadok
anonüümne,anonymný
antiseerum,antisérum
aplaus,potlesk
arenemine,evolúcia
asjatu,márny
asjatundlikkus,odbornosť
blamaaž,potupa
dispersioon,rozptyl
ellu jääma,prežiť
emiir,emir
harjutama,trénovať
hein,seno
homme,zajtra
hoolimata,napriek
häbitult,nehanebne
ime,zázrak
inimene,človek
inimiga,pokolenie
joon,črta
julgeolek,ochrana
julm,krutý
järelikult,teda
järeltulijad,následovník
jäär,baran
jäätus,ľad
kahjustama,škodiť
kahjustama,poškodiť
kaklus,zápas
kalkun,moriak
kalmaar,kalmar
kanvaa,plátno
kask,breza
kasutamine,používanie
katastroof,pohroma
kauss,miska
klaassepp,sklár
kodulinn,rodné mesto
kodumaa,domovina
kohkumatu,neohrozený
kohvimasin,kávovar
kolonisaator,kolonizátor
komisjon,komisia
kompanjon,spoločník
konstruktor,staviteľ
koostama,zostaviť
kordama,opakovať
korter,byt
kortermaja,bytovka
kraadine,stupňový
kristalliline,kryštalický
kritiseerima,kritizovať
krüostaat,kryostat
kuhelik,hromada
kuivati,sušička
kultuur,kultúra
kuuluma,patriť
kuupsentimeeter,mililiter
käelaba,dlaň
käituma,správať
käsitöö,remeselný
käskima,nariadiť
kõht,brucho
kõikuvus,nestálosť
köhima,kašľať
köitma,sputnávať
külaskäik,návšteva
külmavereliselt,chladnokrvne
laen,výpožička
laenama,zapožičať
lahendus,riešenie
lammutama,zdemolovať
leedu,litovský
ligikaudu,zhruba
ligilähedane,približný
liitumine,pripojenie
linnumaja,voliéra
literaat,spisovateľka
loobumine,zrieknutie
loobumine,abdikácia
loomaliha,hovädzie mäso
loomulikult,prirodzene
loomulikult,isto
lubatav,prípustný
lustakas,veselý
läbipääs,priechod
läbirääkimised,rokovanie
lähedaselt,dôverne
lõug,brada
magustoit,sladkosť
meheiga,plnoletosť
määr,limit
mõistma,rozumieť
mõnevõrra,trošku
mõtlema,premýšľať
naljakas,komický
naljakas,vtipný
nutikas,šikovný
nägema,pozrieť
nähtavalt,viditeľne
näts,žuvačka
nõuandev,poradný
ohtlikkus,nebezpečenstvo
olelus,bytie
ookeaniline,oceánsky
oskuslik,skúsený
paabel,neporiadok
paindlik,pružný
paprika,paprika
peal,navrchu
peale,vynímajúc
perfektsionist,perfekcionista
pidama,držať
piljard,biliard
pinge,napätie
pistma,zastrčiť
poleerima,vyleštiť
praadima,vyprážať
praktiliselt,prakticky
puhastamine,očista
puhuma,zaviať
puur,koterec
pääsema,vymaniť
põgenema,utiecť
põhiarv,mocnenec
põllumees,farmár
pöörduma,uchýliť
püüdma,uloviť
radioaktiivsus,rádioaktivita
rammestus,ukonanosť
raps,repka
reformaator,reformátor
regulaarsus,poradie
režissöör,režisér
rootslane,švéd
saama,dostať
sama,zhodne
segisti,mixér
seismine,státie
selge,jasný
selgitama,osvetliť
siiani,potiaľ
sitt,nečistota
startima,odštartovať
säilitama,zachovať
sõrmus,krúžok
süü,vina
tahe,vôľa
tahtmine,chcenie
teadlik,vedomý
teadmatus,neznámo
teekond,cesta
teenindama,obslúžiť
temperatuur,teplota
tennisemängija,tenista
teravili,zrno
terviklikkus,úplnosť
tobuke,ťulpas
toetus,zabezpečenie
tootma,vyrábať
tsüklotron,cyklotrón
tualettruum,toaleta
tugev,pevný
tunnistama,zveriť
tuuker,potápač
täpsustama,spresniť
tõde,pravdivosť
tõsine,vážny
töötlemine,upravovanie
tütrepoeg,vnuk
uppuma,potopiť
vabadus,sloboda
vahendus,sprostredkovanie
valima,vyberať
vanaema,babička
vasakult,zľava
vembumees,podvodník
vihje,narážka
viitsepresident,viceprezident
väejooksik,dezertér
vähe,málo
väljaminek,výdavok
väljavalitud,vyvolený
värvaine,farbivo
väsitav,únavný
või,maslo
võileib,sendvič
võimlema,zacvičiť
võlu,šarm
äratama,vyvolať
õhtu,večer
õhusõiduk,lietadlo
ühendama,napojiť
üksnes,výlučne
üleilmastumine,globalizácia
ülekäigurada,priechod
üles,hore
