et,sk
abivalmis,nápomocný
abivalmis,ústretový
aedvili ,zelenina
aedviljad ,zelenina
alkohoolik,alkoholik
altkäemaks,úplatok
annetaja,darca
antidepressant,antidepresívum
aplaus,aplaus
aplaus,potlesk
asjatu,márny
asjatu,zbytočný
delikaatne,chúlostivý
delikaatne,delikátny
delikaatne,háklivý
deposiit,depozit
deposiit,záloha
detsember,december
edel,juhozápad
edenema,dariť
edenema,postupovať
edenema,postúpiť
ehitusmaterjal,stavebnina
ehitusmaterjal,stavivo
eksklusiivne,exkluzívny
elavdamine,oživenie
ema,mama
ema,mamka
ema,matka
ennetama,predísť
esindatus,zastúpenie
ettekääne,zámienka
ettekääne,zásterka
filosoofia,filozofia
fänn,fanúšik
füüsika,fyzika
galerii,galéria
genereerima,generovať
grillima,grilovať
haamer,kladivo
haamer,mlat
haav,poranenie
haav,rana
haav,zranenie
haigla,nemocnica
hais,smrad
hais,zápach
hall,predsieň
hall,sivosť
hall,sivý
hall,šedivosť
hall,šedivý
halvenema,zhoršiť
halvenemine,zhoršenie
hammustama,hrýzť
hammustama,odhryznúť
hammustama,pohryznúť
hammustama,pohrýzť
hammustama,uhryznúť
hapu,kyslý
harakas,straka
harjutama,cvičiť
harjutama,skúšať
harjutama,trénovať
haru,odbor
haru,odvetvie
haruldane,vzácny
harva,málokedy
harva,zriedka
hein,seno
heitma,hodiť
heitma,hádzať
heitma,mávnuť
heitma,nahodiť
heitma,vrhnúť
heli,zvuk
helilooja,skladateľ
higi,pot
hiir,myš
hilinema,omeškať
hilinema,oneskoriť
hilja,neskoro
hinnang,hodnotenie
hinnang,ocenenie
hinnang,posudok
hinnang,zhodnotenie
hoidmine,úschova
homme,zajtra
hommik,ráno
hommikumantel,župan
homne,zajtrajší
hullus,bláznivosť
hullus,bláznovstvo
hullus,šialenosť
hunt,vlk
huviline,záujemca
häda,núdza
häda,trápenie
hääldus,výslovnosť
hääletama,hlasovať
hääletama,stopovať
hõrk,delikátny
hõrk,lahodný
hõrk,vyberaný
hügieen,hygiena
hüüdsõna,citoslovce
hüüdsõna,interjekcia
igapäevane,každodenný
igapäevane,všedný
igasugune,rozličný
igatahes,isto-iste
igatahes,nabetón
igatahes,rozhodne
ilmakaar,svetová strana
ilmakaared,svetové strany
ilmateade,predpoveď počasia
ilus,krásny
ilus,pekný
immigrant,imigrant
immigrant,prisťahovalec
inetu,ohavný
inetu,škaredý
infarkt,infarkt
info,info
info,informácia
infotehnoloogia,informačná technológia
inglane,angličan
inglanna,angličanka
inimlikkus,humanita
inimlikkus,ľudskosť
inimõigused,ľudské práva
inspireerima,inšpirovať
instinkt,inštinkt
intress,úrok
isa,ocko
isa,oco
isa,otec
isegi,dokonca
isiklikult,osobne
istekoht,miesto
istutama,vysadiť
istutama,zasadiť
jaa,áno
jaanuar,január
jaatav,kladný
jaatav,súhlasný
jaksama,stačiť
jaotama,distribuovať
jaotama,prideliť
jaotama,rozdeliť
jood,jód
joodik,alkoholik
joodik,opilec
joodik,pijan
jooks,beh
jooksma,behať
jooksul,behom
jooksul,počas
jooksul,priebehu
joon,línia
joon,čiara
joon,čiarka
joon,črta
jope,bunda
jope,sako
juhataja,manažér
juhend,inštrukcia
juhend,manuál
juhend,pokyn
juhend,príručka
juhtima,riadiť
juhtima,viesť
juhtima,zaviesť
juhtima,šoférovať
juhtimine,ovládanie
juhtimine,riadenie
juhtimine,vedenie
juhtimine,šoférovanie
juhtkond,rada
juhtkond,vedenie
julge,odvážny
