et,sk
abajas,zátoka
abivalmis,nápomocný
abt,opát
aeglaselt,pomaly
afaasia,afázia
ainitine,sústredený
aktiivne,aktívny
algul,najprv
alkohoolik,alkoholik
alkohoolik,ožran
allkiri,podpis
alpinist,horolezec
analgeetikum,analgetikum
apteeker,lekárnik
areekapalm,areka
aristokraatlikult,aristokraticky
asetäitja,zástupca
atsükliline,acyklický
auaste,hodnosť
basaar,bazár
basiilika,bazilika
biplaan,dvojplošník
buldooser,buldozér
deebet,debet
delikaatne,chúlostivý
delikatess,pochúťka
detsember,december
dispersioon,rozptyl
dolomiit,dolomit
ebasiiras,neúprimný
ebatervislik,nezdravý
ebatüüpiliselt,atypicky
edutult,neúspešne
eelaste,profáza
eepos,epos
eksklusiivne,exkluzívny
eksklusiivne,výhradný
elu,život
emakas,maternica
emigratsioon,emigrácia
enne kui,pred
ennetama,predísť
esindatus,znázornenie
ettekääne,ospravedlnenie
fataalsus,osudovosť
filosoofia,filozofia
futuristlik,futuristický
fänn,fanúšik
geofüüsika,geofyzika
geograaf,geograf
glükoos,glukóza
haav,poranenie
habe,fúzy
hais,zápach
hammustama,uhryznúť
hapu,kyslý
harfist,harfeníčka
harva,málokedy
hauakiri,epitaf
hein,seno
heledasti,žiarivo
hertsoginna,vojvodkyňa
hullus,bláznovstvo
häving,nešťastie
hääletama,stopovať
hügieen,hygiena
ida,východ
ime,zázrak
infarkt,infarkt
inimene,človek
inkubaator,inkubátor
instinkt,inštinkt
intelligent,intoš
isa,oco
isa,otec
isiksus,osobnosť
isomorfism,izomorfizmus
jagatis,proporcia
joodik,pijan
juhend,inštrukcia
juhtimine,riadenie
juhtkond,rada
julge,statočný
julm,krutý
juriidiline,právnický
jutukas,zhovorčivý
järelkäija,stúpenec
kaalium,draslík
kaevik,priekopa
kaitse,ochrana
kajastama,podať
kalju,útes
kallis,milý
kantselei,kancelária
karu,medveď
kask,breza
kassa,pokladnica
katastroof,katastrofa
katki,zničený
katoliku,katolík
kaupmees,díler
kauss,jedlo
keeld,zákaz
keeruline,ťažký
keiserlik,cisársky
kergus,ľahkosť
keskel,naprostriedku
kesv,jačmeň
ketser,bludár
kevad,pružina
kihutama,rútiť
kiiresti,rýchlo
kindlustamatus,bieda
kinnisvara,nehnuteľnosť
kirjutama,vypísať
