cs,sk
arabové,arabi
beruška,lienka
bezpečí,bezpečie
boubelka,bacuľka
brát,brať
brýle,okuliare
chránit,chrániť
chybět,cnieť
chybět,chýbať
den,deň
dlouhé,dlhé
dněpru,dnepra
docházet,dochádzať
dokončena,dokončená
dokázat,uspieť
dopadnout,dolapiť
doplňky,doplnky
dorazit,dojesť
dorazit,doraziť
dorazit,dostať
dovolená,dovolenka
dovést,priviesť
dovést,doviesť
drůbež,hydina
držitel,držiteľ
dvě,dve
délka,dĺžka
díky,diki
dřív,skôr
dříve,predtým
edice,edícia
efektivní,efektívne
ekzém,ekzém
elegantní,elegantný
endokrinologie,endokrinológia
energetika,energetika
evropská,európska
evropské,európskej
extraliga,extraliga
fantazie,fantázia
farma,farma
fenomenální,fenomenálny
financování,financovanie
fluoru,fluóru
fondu,fondu
frází,fráz
funkční,funkčné
galaxii,galaxii
grafických,grafických
grafiky,grafiky
hlavní,hlavný
hnědý,hnedý
holka,dievča
horký,horúci
hospodářský,hospodársky
host,hosť
humanitární,humanitárny
ihned,hneď
impregnace,impregnácia
informační,informačný
inspekce,inšpekcia
inzerce,reklama
jako,ako
jaký,aký
jakýkoliv,akýkoľvek
jednou,kedysi
její,jej
jen,len
jen,iba
jiné,iné
jižní,južný
játra,pečeň
kamna,pec
kandidátů,kandidátov
kapusta,kel
karoserie,karoséria
klid,pokojnosť
klobouk,klobúk
klobouček,klobúčik
kojenců,dojčiat
kombinovat,kombinovať
komise,komisia
komunismus,komunizmus
konkrétní,konkrétny
konstruktérem,konštruktérom
kontaminaci,kontamináciu
končetin,končatín
kouř,dym
kouřit,čmudiť
kouřit,fajčiť
kouřit,kadiť
kreslení,kreslenie
kritizoval,kritizoval
kromě,okrem
krýt,kryť
labilní,labilný
lavičky,lavičky
ledaže,ak
leden,január
lednice,chladnička
len,len
lidí,ľudí
ligy,ligy
listopad,november
literatura,literatúra
lití,liatie
lokální,lokálny
loučení,lúčenie
lučištníci,lukostrelci
láhev,fľaša
lékař,lekár
majetku,majetku
mandle,mandle
manévrování,manévrovanie
masky,masky
mater,mater
mateřství,materstvo
mechanického,mechanického
medu,medu
membrána,membrána
milé,milé
misie,misie
mladou,mladou
mlha,hmla
mléčné,mliečne
mnoho,mnoho
množství,množstvá
množství,množstva
mocný,mocný
moudrost,múdrosť
močového,močového
myšlenka,myšlienka
míchání,miešanie
mísa,misa
místní,lokálne
místní,miestna
měkké,mäkký
měl,mal
měsíc,mesiac
nabízených,ponúknutých
nahoru,nahor
nahoru,hore
nakolik,nakoľko
naprostý,bezvýhradný
naprostý,jednoznačný
naučil,naučil
navigace,navigácia
navrhovat,navrhovať
navýšení,zvýšenie
nazývaná,nazývaná
našli,našli
nedávné,nedávne
nemluvně,nemluvňa
nevěrný,neverný
nosítka,nosidlá
národnost,národnosť
nárokovat,nárokovať
násilí,násilie
násobek,násobok
nástupce,nástupca
nést,niesť
několik,niekoľko
objektivní,objektívny
obsahující,obsahujúci
obvykle,všeobecne
odeslání,odoslanie
odečísť,odčítať
odhalena,odhalená
odkazovat,odkazovať
odmítnout,zamietnuť
odmítnout,odmietnuť
odměnu,odmenu
odměny,odmeny
odpočinout,odpočinúť
odstavce,odseky
odstraněn,odstránený
omezen,obmedzený
omezený,obmedzený
opět,opäť
opět,zasa
oslovit,osloviť
ostuda,hanba
osvobozena,oslobodená
otevřený,otvorený
ovlivňuje,ovplyvňuje
ověřit,overiť
ovšem,isto
ošetřit,ošetriť
padající,padajúci
padnout,padnúť
padnout,spadnúť
panovat,panovať
patnáctý,pätnásty
patrný,znateľný
patřit,patriť
pecka,kôstka
platnost,platnosť
plně,plne
plátek,plátok
podezřelý,podozrivý
podílet,podieľať
podívat,preveriť
pohádka,rozprávka
pokladna,pokladňa
polibek,bozk
poloostrově,polostrove
polévka,polievka
pomohly,pomohli
popsat,popísať
posilovat,posilňovať
postel,posteľ
potomci,potomkovia
potrestání,potrestanie
poté,po
povídka,poviedka
počítat,počítať
pořídit,dodať
pořídit,obstarať
požární,požiarny
prdel,zadoček
proběhnout,prebehnúť
prodávající,predávajúci
projednat,prediskutovať
projevit,preukázať
prokletá,prekliata
prokládané,prekladané
prokázat,preukázať
prominentní,prominentný
proslulý,preslávený
proud,prúd
provést,vyviesť
prvek,prvok
první,prvý
práce,práca
právní,právny
průběh,priebeh
průzkumy,prieskumy
ptačí,vtáčí
putovat,vandrovať
pálení,pálenie
pátek,piatok
písek,piesok
pře,spor
předpokládat,predpokladať
předpovídat,predpovedať
představitel,reprezentatnt
představovat,znázorňovať
představovat,predstavovať
překrocení,prekročenie
překážka,prekážka
přemístit,premiestniť
přes,prostredníctvom
přesvědčit,uistiť
přetažení,pretiahnutie
převzít,prebrať
přidat,zrýchliť
přijímat,prijať
přijímat,prijímať
přijímá,prijíma
přijímání,prijímanie
přijít,zmocniť
připojen,pripojený
přispívá,prispieva
přispět,zložiť
příloha,príloha
případný,prípadný
případě,prípade
přípravy,prípravy
příslušný,príslušný
přísnost,prísnosť
příspěvek,prínos
přítel,priateľ
přítelkyně,dievča
příznak,symptóm
půda,povala
půjčka,pôžička
půlka,polovica
radost,radosť
registrace,registrácia
reputace,povesť
respekt,rešpekt
restaurace,reštaurácia
rovnat,vyrovnávať
rovnat,usporadúvať
rozcestí,rozcestie
rozdělen,rozdelený
rozkvět,rozkvet
rozsáhlý,široký
rozvinuté,vyvinuté
rty,pery
rušit,rušiť
rychlá,rýchly
rytíři,rytieri
salát,šalát
satelit,satelit
schvalování,schvaľovanie
schválit,prijať
schémata,diagramy
sdělení,správa
segment,segment
sekvence,sekvencie
semínka,semien
sen,sen
sestup,zostup
skalách,skalách
skandály,škandály
skok,skok
skončit,ukončiť
skvěle,skvelo
skvělý,ohromný
skála,skala
skřítek,škriatok
slavnostní,oslavný
sleva,zľava
slibovat,sľubovať
sloupci,stĺpca
slovanských,slovanských
slovenským,slovenským
složit,tvoriť
složka,zložka
službách,službách
smířit,zmieriť
směšný,smiešny
snadno,ľahko
snížený,znížený
sněhový,snehový
soubor,súbor
souběžně,paralelne
souběžně,súbežne
soukromý,súkromný
související,súvisiace
souviset,súvisieť
součinnost,súčinnosti
součást,súčasť
speciální,špeciálna
spoje,spoje
spolehlivý,verný
společenský,spoločenský
společný,spoločný
spolupracující,spolupracujúci
spolupráce,spolupráca
sportovní,športový
spotřebitel,spotrebiteľ
spotřební,spotrebný
spravovat,spravovať
správu,správu
stane,stane
stanovení,určovanie
stanovit,určiť
stanovuje,stanovuje
statisíc,stotisíc
stejný,rovnaký
stisknutí,stisnutie
styk,styk
stálý,permanentný
stálý,stály
stávající,jestvujúci
střecha,strecha
střední,stredná
střela,projektil
střet,konflikt
subvence,dotácie
svatý,svätý
svědectví,svedectvo
svědkové,svedkovia
světelný,svetelný
syrový,surový
sáhů,siah
tabák,tabak
takovýhle,takýto
taktovkou,taktovkou
také,aj
také,takisto
technici,technici
tempo,tempo
tepelné,tepelné
terapie,terapia
terminál,terminál
teroristické,teroristické
terénní,terénny
testované,testované
testování,testovanie
toalety,toalety
tom,tom
topení,kúrenie
topení,vykurovanie
tradiční,tradičný
tragédie,tragédia
trávení,trávenie
tušit,tušiť
tvůj,tvoj
typických,typických
tyto,tieto
téměř,takmer
týden,týždeň
těsto,cesto
těžký,hrubý
udržuje,udržuje
udělen,udelený
udělit,poskytnúť
ukládání,uskladnenie
ukázala,ukázala
ukázat,ukázať
uložení,uskladnenie
umístění,umiestnenie
unaven,unavený
upozornění,upozornenie
upravená,upravená
upravené,upravené
upustit,upustiť
upřesnit,spresniť
upřímně,úprimne
ustanovením,ustanovením
uznávaným,uznávaným
vcelku,vcelku
vepřový,bravčový
veselé,veselé
veterinární,veterinárna
vetřelci,votrelci
veřejná,verejná
