cs,sk
adaptivní,adaptívne
akcionáři,akcionári
akreditaci,akreditáciu
aktivně,aktívne
albánské,albánske
ambasáda,veľvyslanectvo
ambiciózní,ambiciózny
amputace,amputácia
aplikace,aplikácie
arabové,arabi
armádní,armádny
asistence,asistencia
ačkoli,hoci
barva,farba
beruška,lienka
bezpečí,bezpečie
blízký,blízky
bojiště,bojisko
borůvka,čučoriedka
boubelka,bacuľka
brabenec,mravec
bratr,brat
brouk,chrobák
brožury,brožúry
brát,užívať
brát,brať
brýle,okuliare
buben,bubon
byl,bol
byla,bola
byli,boli
bylo,bolo
byly,boli
bát,báť
bít,biť
být,byť
během,počas
březen,marec
celkem,spolu
celkem,celkom
centralizace,centralizácia
chasník,mládenec
chlubit,vstatovať
chlubit,chváliť
chránit,chrániť
chtít,chcieť
chudý,chudobný
chvění,chvenie
chybět,chýbať
chybět,cnieť
chytrý,múdry
chřipku,chrípku
cizinci,cudzinci
cizí,cudzí
cokoli,čokoľvek
cokoliv,hocičo
cvičení,cvičenie
cáklý,švihnutý
další,ďalší
další,nasledujúci
databáze,databáza
datum,dátum
den,deň
desky,dosky
detailní,podrobný
detailní,detailný
dialog,dialóg
digitalizace,digitalizácia
diplomacie,diplomacia
disidentů,disidentov
diskuse,diskusie
diskuse,diskusia
diskuse,rozprava
diskuse,debata
diskvalifikován,diskvalifikovaný
diváky,divákov
dlouhé,dlhé
dne,dňa
dněpru,dnepra
dobrovolníky,dobrovoľníkov
dobře,fajn
dobře,správne
dobře,dobre
docházet,dochádzať
docházet,vybíjať
dodavatelé,dodávateľov
dohled,dohľad
dokončena,dokončená
dokázat,dokázať
dokázat,uspieť
dokázat,zvládnuť
domněnky,domienky
domácí,domáci
doopravdy,naozaj
dopadnout,dopadnúť
dopadnout,dobehnúť
dopadnout,chytiť
dopadnout,dochytiť
dopadnout,dolapiť
dopis,list
doplnit,doplniť
doplněk,dodatok
doplněk,doplnok
doplněn,doplnený
doplněná,doplnený
doplňky,príslušenstvo
doplňky,doplnky
dopoledne,doobedu
dopoledne,doobeda
dopoledne,dopoludnia
doporučené,odporúčané
doporučený,odporúčaný
doporučený,odporučený
doporučit,odporučiť
doporučovat,odporúčať
doposud,doposiaľ
doprava,premávka
dorazit,dojesť
dorazit,prísť
dorazit,doraziť
dorazit,dopiť
dorazit,dostať
dort,torta
dospělá,dospelá
dospělý,dospelý
dost,dosť
dost,stačí
dostat,dostať
