cs,sk
aktivně,aktívne
ambiciózní,ambiciózny
aplikace,aplikácie
byl,bol
byla,bola
celkem,spolu
chytrý,múdry
detailní,podrobný
diváky,divákov
dlouhé,dlhé
dobře,fajn
doplněk,dodatok
doporučený,odporúčaný
doporučit,odporučiť
držet,držať
dvě,dve
díky,dik
děda,deda
důsledek,dôsledok
efektivně,efektívne
elektroniku,elektroniku
entity,entity
evropská,európska
expedice,expedícia
exponáty,exponáty
externí,externé
federace,federácia
hezky,pekne
historie,história
horké,horúce
hřbitov,cintorín
hřiště,ihrisko
ihned,okamžite
iniciativa,iniciatíva
jakékoliv,akýchkoľvek
jakýsi,akýsi
jen,iba
jenže,lenže
jezero,jazero
jméno,meno
jádro,jadro
kategorizovat,kategorizovať
klid,vyrovnanosť
klíště,kliešť
konkrétní,konkrétny
koupaliště,kúpalisko
kouř,dym
království,kráľovstvo
krásnou,krásnou
krásně,krásne
kuřecí,kurací
lady,lady
lingvisté,lingvisti
lokální,lokálny
loučení,rozlúčenie
líbit,páčiť
majetku,majetku
malým,malým
manžel,manžel
mastných,mastných
metodu,metódu
minimální,minimálny
mnoho,mnoho
mokré,mokré
mor,mor
mořský,morský
muset,musieť
máj,máj
místní,lokálne
místo,miesto
mít,mať
nabízených,ponúknutých
nadcházející,nastávajúci
nadnárodní,nadnárodný
napsali,napísali
navrhli,navrhli
navíc,navyše
nejdřív,najskôr
nejspíš,najskorej
nádvoří,nádvorie
nést,vanúť
některé,niektoré
obránci,obranci
oběť,obeť
odehrát,odohrať
odmítnout,odmietnuť
odměny,odmeny
opět,zasa
osobní,osobný
otevřen,otvorený
otevřeně,otvorene
očekávat,očakávať
papír,papier
paže,ramená
plat,mzda
pocházet,pochádzať
podivný,výstredný
podílet,podieľať
pokoušet,pokúšať
porodní,pôrodný
potěšení,potešenie
poukázky,poukážky
poznatek,poznatok
pořídit,nadobudnúť
privátní,privátna
procházka,prechádzka
prominentní,prominentný
provedení,implementácia
průběh,priebeh
psát,písať
pulec,žubrienka
putovat,putovať
pěšáci,pešiaci
předpokládat,predpokladať
představa,vidina
přesvědčit,ubezpečiť
přijatelný,prijateľný
přijímat,prijať
přijímání,prijímanie
přivítat,uvítať
přírodní,prírodná
přítel,priateľ
radit,radiť
regulační,regulačný
respekt,rešpekt
rozdíl,rozdiel
rozhodovat,rozhodovať
roční,ročný
salát,šalát
samotné,samotné
schválili,schválili
sekundární,sekundárny
servis,servis
seznámit,zoznámiť
sféry,sféry
silná,silné
skončit,ukončiť
skončí,skončí
skutečně,naozaj
skvěle,brilantne
slabost,slabosť
slavnostní,sviatočný
slot,slot
sloveso,sloveso
smířit,zmieriť
směs,zmes
snadný,ľahký
snižovat,znižovať
sopka,sopka
souboj,súboj
souběžně,súbežne
specifický,špecifický
spolupracovníci,spolupracovníci
spustit,naštartovať
stanoven,stanovený
stejně,rovnako
stisknutí,stisnutie
stupeň,stupeň
styk,styk
státní,štátny
středa,streda
střet,konflikt
sázet,stavať
sázet,sádzať
také,také
tenhle,tento
tlak,tlak
tohto,tohto
traktu,traktu
trvalým,trvalým
trávit,tráviť
těžký,bolestný
těžký,hrubý
uhradit,uhradiť
ukončení,skončenie
umění,umení
unisex,unisex
variantu,variantu
vesmír,vesmír
veterinární,veterinárna
vetřelci,votrelci
videu,videu
vlaštovky,lastovičky
vysokých,vysokých
vyvrcholila,vyvrcholila
výhled,výhľad
výrobek,produkt
větší,väčšia
zažili,zažili
země,štáty
zkrácené,skrátené
zkáza,záhuba
zpoždení,opozdenie
zájemce,záujemca
záře,žiara
zůstatku,zostatku
údolí,údolí
útulek,útulok
čáp,bocian
řád,poriadok
