en,ko
acceleration,가속
continuity,연속성
sensors,센서
participants,참가자
wage,임금
different,달라
garage,차고
confirmation,확인
eden,에덴
mongolia,몽골
delightful,즐거운
gadgets,가젯
natives,원주민
unbreakable,언브레이커블
novels,소설
oceania,오세아니아
owl,부엉이
based,기반
damages,손해배상
schmidt,슈미트
layers,레이어
ranger,레인저
essence,본질
beard,수염
alert,경고
lantern,랜턴
homer,호머
despise,경멸
custody,양육
clinic,클리닉
sold,판매
thumb,엄지손가락
charts,차트
mods,개조
breakfast,아침
fleece,양모
helena,헬레나
innovations,혁신
lighter,라이터
capitals,캐피털
solomon,솔로몬
sally,샐리
northwest,노스웨스트
mafia,마피아
genesis,창세기
lengths,길이
struggles,투쟁
wholesale,도매
unfortunate,불행한
childbirth,출산
placement,배치
vertigo,현기증
lunch,도시락
blaze,블레이즈
taiwanese,타이완
kidnapped,납치
augusta,아우구스타
platinum,플래티넘
expenses,비용
streamlined,간소화
garage,주차장
obedient,순종
headers,헤더
impulse,임펄스
hampton,햄프턴
blues,블루스
happiness,행복
accusation,고소
mackenzie,매켄지
lou,루키
fitness,피트니스
spins,스핀
jungle,정글
osaka,오사카
seating,좌석
interactive,대화식
withdrawal,철수
einstein,아인슈타인
specify,지정하기
tough,힘든
leaflet,전단지
emotions,감정
taekwondo,태권도
renault,르노
transactions,트랜잭션
imported,수입
judgement,판단
philosophers,철학자
barrel,배럴
combine,결합
simulation,시뮬레이션
transparent,투명
dagger,단검
hardcore,하드코어
rolls,롤스
rio,리오
bucharest,부쿠레슈티
servers,서버
optimize,최적화
she,그녀
creature,생명체
hastings,헤이스팅스
talented,재능
pahlavi,팔라비
builder,빌더
premiership,프리미어십
cellular,셀룰러
miranda,미란다
dad,아빠
hendricks,헨드릭스
bergen,베르겐
agreements,협정
dat,dat
debates,논쟁
overwrites,덮어쓰기
item,품목
wrap,포장
reporting,보고서
chains,체인
delegation,위임
buying,구매
flooding,홍수
mets,메츠
siblings,남매
missiles,미사일
csm,csm
cooper,쿠퍼
catalan,카탈루냐어
cooperative,협동조합
burden,부담
exam,시험
krishna,크리슈나
trailer,트레일러
granite,화강암
layout,레이아웃
anxiety,불안
macedonian,마케도니아
script,스크립트
exploring,탐험
salmon,연어
physique,체격
phenomena,현상
conclusions,결론
sitcoms,시트콤
assignment,할당
trevor,트레버
advertisement,광고
bengali,벵골
exist,존재
everyday,일상
perception,인식
bindings,바인딩
salisbury,솔즈베리
turkic,튀르크
inventor,발명
nigel,나이젤
actresses,여배우
ecological,생태
paramount,파라마운트
baden,바덴
research,연구
boot,부팅
julius,줄리어스
definitions,정의
acre,에이커
basement,지하
organs,장기
characteristics,특성
dealership,대리점
debates,토론
loyalty,멤버십
christina,크리스티나
leone,레온
start,시작
intro,소개
garrett,개릿
kay,케이
nickel,니켈
decrypt,복호화
parody,패러디
task,작업
lease,임대
torture,고문
sneezes,재채기
advertiser,광고주
recycled,재활용
proportion,비율
kazakhstan,카자흐스탄
shallow,얕은
reflection,반사
justified,정당화
criminals,범죄자
someday,언젠간
rank,계급
mccarthy,매카시
mae,메이
steering,스티어링
configure,설정
surgery,외과
paraguay,파라과이
bill,윌리엄
powder,파우더
gains,이득이
brandon,브랜던
bag,가방
amanda,아만다
pillows,베개
poison,독도
atom,원자
frog,개구리목
norman,노먼
eri,eri
toyota,토요타
danzig,단치히
vanguard,뱅가드
downey,다우니
galleries,갤러리
statues,동상
neutral,중성
cry,울음
spec,사양
relationships,관계
xbox,엑스박스
booking,예약
meyers,마이어스
exercise,운동
diploma,수료
profits,수익
spiraling,나선형
communism,공산주의
alias,별칭
belarus,벨라루스
objectives,목표
securities,증권
planted,심어
chaos,혼란
repayment,상환
penny,페니
cello,첼로
williamson,윌리엄슨
sociable,사교
breast,유방
condenser,콘덴서
diagnosis,진단
cure,치료
goods,상품
meanings,의미
import,수입
flagship,플래그십
benedict,베네딕토
rewrite,재작성
rams,램스
forty,마흔
portsmouth,포츠머스
clouds,구름
noah,노아
alto,알토
salary,급여
essential,필수
withdrawal,금단
replay,리플레이
even,조차도
disability,장애인
adolf,아돌프
floyd,플로이드
shortened,단축
requiem,레퀴엠
lisp,리스프
viktor,빅토르
elf,엘프
chaos,혼돈
honduras,온두라스
alp,alp
dcs,dcs
enormous,어마어마한
reservation,예약
angela,안젤로
precisely,정확히
vague,애매하다
substitution,교체
revoke,박탈
dirt,먼지
greedy,탐욕
modeling,모델링
hammond,하몬드
pérez,페레즈
steady,꾸준히
clarinet,클라리넷
auburn,오번
brian,브라이언
constantine,콘스탄티누스
layout,layout
santo,산토
helsinki,헬싱키
invention,발명
diploma,디플로마
carriage,마차
fountain,분수
cindy,신디
optical,광학
interpol,인터폴
urology,비뇨기과
checks,체크
prefix,접두사
alert,경보
chennai,첸나이
specification,규격
copies,사본
careers,커리어
cursor,커서
consumers,소비자
hal,hal
ballad,발라드
fiji,피지
suffer,고통받고
editor,편집기
passenger,여객
slam,슬램
missionary,선교사
survivor,생존자
mercy,자비
rudolf,루돌프
prediction,예측
ritual,의식
electron,전자
demonstration,시위
shorter,짧게
manner,태도
artists,예술가
rex,렉스
freebsd,freebsd
león,레온
mohammad,모하마드
car,자동차
stuttgart,슈투트가르트
excess,초과
hotdogs,핫도그
options,옵션
polls,설문조사
pavilion,파빌리온
deadly,치명적
prohibited,금지
mohammed,무함마드
minneapolis,미니애폴리스
fuzzy,퍼지
yield,수익
pot,화분
monthly,매달
distinct,뚜렷한
nordic,노르딕
calgary,캘거리
skunk,스컹크
dry,드라이
zion,자이언
fruits,과일
yesterday,어제
abortion,낙태
import,불러오기
plug,플러그인
debt,채무
calcutta,캘커타
duplicate,중복
armour,기갑
portable,휴대용
odds,확률
graduates,졸업생
bypass,바이패스
lexington,렉싱턴
tax,납세
wounds,상처
zhili,직계
bathhouse,목욕탕
metals,금속
pyramid,피라미드
depart,출발
spear,스피어
profits,이익
limitations,제한
imagination,상상
memoir,회고록
formatting,포맷
landau,란다우
jenkins,젱킨스
sen,센다
harbor,항구
mini,미니
monaco,모나코
protective,보호
dish,접시
stafford,스태퍼드
bug,벌레
telecommunications,통신
jacobs,제이콥스
drake,드레이크
seventeen,열일곱
cage,새장
admits,인정
girls,소녀
passion,열정
horizon,지평선
mekong,메콩
playoffs,플레이오프
musket,머스킷
augsburg,아우크스부르크
formosa,포르모사
electra,엘렉트라
honor,영광
vatican,바티칸
merge,통합
paperback,페이퍼백
trails,트레일
stealth,스텔스
addictive,중독성
quarrel,싸움
pig,돼지
passive,수동적
connolly,코널리
steam,스팀
malay,말레이시아어
detachment,분리
breaststroke,평영
scenario,시나리오
dinner,저녁
jenner,제너
molecules,분자
prairie,프레리
persuaded,설득
illustrator,삽화가
marx,마르크스
sock,양말
situation,상황
controller,컨트롤러
fingers,손가락
gamma,감마
stern,스턴
nutrition,영양실조
electrochemical,전기화학
teen,십대
batteries,건전지
chiba,치바
russians,러시아인
lebanese,레바논
dive,dive
law,법률
perfume,향수
bing,bing
dissolution,해산
sizes,크기
buddha,부처
pratt,프랫
indexing,인덱싱
hemingway,헤밍웨이
crane,두루미
bullying,따돌림
torn,찢어진
cycling,사이클링
toxic,유독성
spirit,스피릿
mystic,미스틱
unhappy,불행
wireless,무선
dwarf,난쟁이
frozen,냉동
evaluate,평가
tap,누르기
efficiently,효율적으로
charitable,자선
namibian,나미비아
catania,카타니아
latvian,라트비아
emissions,배기가스
transparency,투명성
infinite,인피니트
wounds,상처
inn,inn
valeriy,발레리
cdp,cdp
brewery,맥주
sigma,시그마
valencia,발렌시아
boyd,보이드
quarterly,분기
karachi,카라치
crush,크러쉬
shaft,샤프트
shoes,신발
randomly,무작위로
rewarding,보람
catholicism,가톨릭주의
persian,페르시안
aborted,중단됨
bullet,총알
norm,노름
starvation,기아
discharge,분비물
fence,담장
enhance,보정
console,콘솔
algorithms,알고리즘
chemicals,화학
