en,ko
shadows,섀도
differential,미분
spanish,스페인어
spreadsheet,스프레드시트
immigrant,이민자
atoms,원자
ass,엉덩이
timothy,티모시
highlight,강조
telescope,망원경
cinderella,신데렐라
brics,브릭스
larnaca,라르나카
trails,궤적
symbolic,심볼릭
liberia,라이베리아
balloon,풍선
laboratories,실험실
barn,헛간
phones,전화기
buddy,버디
steelers,스틸러스
elaborate,정교
silk,명주
timezone,시간대
cowboys,카우보이
climb,오르기
authors,작성자
headphones,이어폰
flaw,결함
backups,백업
flowing,흐르는
query,검색어
seriously,진심
archer,아처
jorge,호르헤
timeline,타임라인
paltrow,팰트로
benson,벤슨
punch,펀치
processor,프로세서
plasma,플라스마
detected,발견됨
utilization,활용
mythology,신화
beats,비트
salo,살로
rodriguez,로드리게즈
cubs,컵스
clarence,클래런스
olive,올리브
absent,결석
preposition,전치사
notices,공지
things,사물
instant,인스턴트
ceramic,세라믹
mud,머드
statues,조각상
trumpet,나팔
bypass,우회로
weirdo,괴짜
savings,저축
ecological,생태주의
phipps,핍스
payouts,정산
patriots,애국자
fantastic,판타스틱
regulatory,규제
manifesto,선언
layer,레이어
higgins,히긴스
pointless,무의미한
pitchers,투수
webb,웨브
swift,스위프트
scripts,스크립트
lorenzo,로렌조
beaches,바닷가
container,컨테이너
kuwait,쿠웨이트
airways,항공
user,사용자
snack,스낵
wagon,마차
licence,라이선스
voronezh,보로네시
monarchy,군주
cafe,카페
preview,미리보기
scsi,scsi
teachings,가르침
carnival,사육제
asset,자산
souls,영혼
scientific,과학
paying,지불
silly,바보
enclose,동봉
exhibition,전람회
usd,usd
massacre,학살
oral,구강
meeting,모임
framework,프레임워크
machinery,기계
merchants,상인
stocking,스타킹
smoking,금연
berry,베리베리
pitching,투수
mahjong,마작
chains,사슬
emissions,배출권
wasp,wasp
tilt,틸트
claire,클레어
stalking,스토킹
pump,펌프
slovak,슬로바키아어
nationalism,민족주의
providers,공급자
franco,프랑코
luggage,수하물
linux,linux
tri,트라이
amida,아미타
water,워터
residence,주택지
rent,렌트
micro,마이크로
notices,공지사항
monasteries,수도원
genius,천재
deputies,대의원
eighteen,여덟
expectations,기대
arrow,화살
spirits,스피리츠
dhaka,다카
trees,나무들
condition,조건
illustrator,일러스트레이터
meteorite,운석
psg,psg
australian,오스트레일리아
polls,설문
fontana,폰타나
funk,펑크
mongols,몽골인
andreas,안드레아스
kilometres,킬로미터
moist,촉촉한
nassau,나사우
buck,벅스
analog,아날로그
developed,선진
marcel,마르셀
use,사용하기
strongest,최강
macedon,마케도니아
candies,사탕
posthumous,부관
minecraft,마인크래프트
catalogue,카탈로그
basel,바젤
headphones,헤드폰
fish,물고기
divorcee,이혼
inspection,점검
łódź,우치
audience,관객
mohammad,모하마드
gangnam,강남
quantity,수량
email,이메일로
roma,로마
prey,먹이
notation,표기법
fur,모피
trademark,상표권
trembling,떨림
hawks,호크스
minerals,미네랄
ross,로스
comfort,위안부
loosely,느슨하게
girl,소녀
elle,elle
daniel,다니엘
ldh,ldh
testimony,증언
steering,핸들링
environmental,환경
mickey,미키
black,검정
lighter,라이터
mozilla,모질라
soc,soc
terminology,용어
dealer,딜러
trainer,트레이너
monica,모니카
witnesses,증인
supporter,지지자
sánchez,산체스
batch,배치
publications,출판물
butterfly,나비
fantasies,판타지
adopt,입양
acres,에이커
papua,파푸아
comeback,컴백
blouses,블라우스
everywhere,어디서나
anaheim,애너하임
desperate,절실한
stats,통계
bunt,번트
noose,올가미
reward,보상
bride,신부
newsletters,뉴스레터
phobias,공포증
inventory,재고
usage,사용
import,가져오기
screening,상영
convention,조약
includes,포함됨
scout,스카우트
decorations,장식
markets,시장
merchants,상인인
abdullah,압둘라
eva,에바
rag,rag
bermuda,버뮤다
duplicate,복사
grids,그리드
sacrifice,희생
alternatives,대안
trials,재판
sue,sue
arabian,아라비아
pistol,권총
tuesday,화보
spi,spi
dining,식사
bronx,브롱크스
aunt,이모
tubes,튜브
trivia,퀴즈
monsters,괴물
italia,이탈리아
tulip,튤립
hammond,해먼드
masatoshi,마사토시
stupid,멍청한
taiwanese,타이완
fuel,연료
tension,긴장감
fund,기금
inhibitor,억제
rené,레네
filling,채우기
phillip,필립
debut,데뷔
transform,변신
edges,모서리
dynamo,다이너모
brewery,양조
cleaning,청소
posix,posix
communications,통신
detect,감지
ceiling,천장
bureaucracy,관료
scale,규모
instruments,악기
admission,입학
trap,함정
actresses,여배우들
alma,알마
fold,접어
squiggly,곡선
intensity,강도
elephant,코끼리
portable,휴대
orcas,범고래
libya,리비아
stoke,스토크
mathematician,수학자
verse,구절
narcotics,마약
least,최소
trends,경향
unpleasant,불쾌한
skull,두개골
discuss,논의
specifications,사양
erik,에릭
unique,고유
hawk,호크
peaceful,평화롭고
absorbent,흡수
decorative,장식
kitty,키티
flagged,플래그
emma,엠마
bombay,봄베이
warehouse,창고
irregular,불규칙
eleventh,열한번째
flemish,플랑드르
provider,공급자
vms,vms
grandfather,할아버지
pipeline,파이프라인
bylaws,세칙
pipes,파이프
density,밀도
platforms,플랫폼
visa,비자
racist,인종차별
musician,연주자
canvas,캔버스
honorary,명예
emerald,에메랄드
soprano,소프라노
jessica,제시카
phantom,팬텀
slc,slc
yacht,요트
subway,지하철
janet,재닛
mos,모스
reactor,원자로
howe,하우
expo,박람회
specially,특별히
home,집에
langley,랭글리
menu,메뉴
voluntary,자발적
fatal,치명적
mud,진흙
composite,합성
rope,밧줄
genres,장르
crowd,군중
steps,걸음
intro,소개
mapped,매핑
posters,포스터
mention,언급하기
satellites,인공위성
arabian,아라비아어
far,멀다
endoscopy,내시경
resolution,해상도
velvet,벨벳
angola,앙골라
scratch,스크래치
rebecca,리베카
rent,임대료
dunlop,던롭
proud,자랑
exeter,엑서터
lobbyist,로비스트
understand,이해하기
taxi,택시
duchess,공작부인
deaf,청각
antenna,안테나
identifying,식별
growing,growing
fountains,분수
detour,우회
chicks,병아리
undergarments,속옷
pgm,pgm
recommendations,추천
tunisia,튀니지
socialism,사회주의
interact,교류
alphabet,알파벳
clerk,점원
reference,참고
dough,반죽을
tension,긴장
tai,타이
superhero,슈퍼히어로
manufacture,제조
explanation,설명
reyes,레예스
clayton,클레이턴
red,붉은색
environments,환경
left,왼쪽
vegetation,식물
rotterdam,로테르담
kamei,카메이
diary,일기장
emperors,황제
counsel,변호사
adopting,입양
nerve,신경
transfers,전송
waterloo,워털루
encyclopedia,대백과사전
kowloon,주룽
ump,ump
bassist,베이시스트
lonely,외로움
sphere,스피어
spices,양념
benedict,베네딕트
panama,파나마
career,커리어
perspective,관점
memoirs,회고록
allocate,할당
joey,조이
gsp,gsp
haynes,헤인스
meta,메타
investments,투자
julianna,줄리아나
violating,위반
bengali,벵골어
luxury,명품
macedonian,마케도니아어
valve,밸브
lambert,램버트
beast,비스트
wisdom,지혜
expressions,표현식
instant,즉시
stephen,스티븐
packets,패킷
regulated,규제
jumping,장애물
stopping,멈추기
ageing,노화
lifestyle,라이프스타일
mozart,모차르트
fuller,풀러
trevor,트레버
condom,콘돔
insight,인사이트
frogs,개구리목
torture,고문의
deli,델리
bottom,아래
conservatives,보수주의
vault,볼트
soap,비누
blame,비난
josephson,조지프슨
dish,접시
drainage,배수
atonement,속죄
haiti,아이티
admission,입학
frozen,프로즌
kenya,케냐
rebecca,레베카
atl,애틀란타
intensity,강조
praise,칭찬
macedonian,마케도니아인
interference,간섭
binary,바이너리
estimates,추정치
secondly,두번째로
plural,복수형
genesis,제네시스
clips,클립
luxury,럭셔리
wintertime,겨울철
published,출판
bombs,폭탄
pleasure,기쁨
frost,프로스트
siblings,형제자매
carmen,카르멘
conservatory,음악원
doc,doc
winchester,윈체스터
abbey,수도원
annotation,주석
thriller,thriller
sarawak,사라왁
contacts,연락처
continuity,연속
nielsen,닐슨
infobox,정보상자
detection,검출
some,일부
sketches,스케치
poker,포커
belarusian,벨라루스
other,다른
rejection,거절
hermes,헤르메스
inscription,비문
clara,클라라
clarkson,클라크슨
bag,봉지
page,페이지
turbine,터빈
travis,트레비스
croatian,크로아티아인
zip,우편번호
bullet,탄환
zagreb,자그레브
tucker,터커
glossary,용어
goodnight,굿나잇
consulting,컨설팅
formatting,포맷
adelaide,애들레이드
trucks,트럭
viking,바이킹
published,출판됨
shaves,면도
compression,압축
commit,커밋
polling,폴링
disability,장애
berlin,베를린
reunion,동창회
keep,유지
east,동쪽
automotive,자동차
shannon,섀넌
prelude,전주곡
flames,불꽃
beverly,비벌리
uncommon,드문
deathmatch,데스매치
jaundice,황달
ragnarok,라그나로크
matching,일치하는
mood,분위기
plug,플러그
snout,주둥이
projected,투영
surface,지표면
ibrahim,이브라힘
intersection,교차
trails,흔적
worldwide,전세계
rodriguez,로드리게스
thanh,thanh
tender,부드러운
fairbanks,페어뱅크스
clement,클레멘스
detected,감지
fever,열이
read,읽음
pregnancy,임신
infant,영아
chest,가슴이
segovia,세고비아
umc,umc
bookmarks,책갈피
expertise,전문성
reviews,리뷰
desktop,데스크탑
ktx,ktx
finger,핑거
empty,비어
promotions,홍보
halifax,핼리팩스
production,제작
interrogation,심문
addiction,중독증
ain,아인
poincaré,푸앵카레
transactions,거래
stars,항성
seriously,심각하게
setsuko,세츠코
anytime,언제라도
restriction,제한
sharp,샤프
nikephoros,니케포루스
antiochus,안티오코스
mcu,mcu
wedding,결혼식
hague,헤이그
tracking,추적
reformation,종교개혁
flame,불꽃
enclosed,동봉
prohibition,금주법
seodaemun,서대문
sermon,설교
imagination,상상력
wheeler,휠러
refrigeration,냉장
emirates,에미리트
inventory,인벤토리
detection,탐지
oman,오만의
bletchley,블레츨리
batteries,배터리
inventory,재고
overcome,극복
ecology,생태주의
advantages,장점
convince,설득
example,예시
corn,옥수수
barrier,장벽
donations,기부금
zola,졸라
arrow,화살표
android,android
shortened,단축
ert,ert
beaches,해변
coral,산호
skillet,프라이팬
flexible,융통성
grenada,그레나다
modulation,변조
claudia,클라우디아
speak,말하기
einsteins,아인슈타인
sketch,스케치
dancers,무용수
receptor,수용체
cheese,치즈
enhance,보정
fri,금요일
box,box
eden,이든
turtle,거북
breast,가슴
rtm,rtm
browsing,브라우징
dreadnought,드레드노트
photographers,사진작가
maple,단풍나무
senator,상원의원
outlined,윤곽
acre,아크레
trailer,예고편
elevators,엘리베이터
tram,트램
riding,라이딩
stereo,스테레오
regulate,규제
tigers,타이거즈
tangent,탄젠트
pcs,pc
stations,스테이션
estimates,추정
logan,로건
brady,브래디
domains,도메인
lila,라일라
shade,그늘
advise,충고
santo,산토
dawson,도슨
complexity,복잡도
sitcom,시트콤
displacement,변위
kilos,킬로
peruvian,페루
stoke,스토크스
constantinople,콘스탄티노
chapman,채프먼
hit,hit
digested,소화
cage,케이지
plenary,본회의
hawk,호크
carrara,카라라
aberdeen,애버딘
backup,백업
holidays,명절
invitation,초청
falaise,팔레즈
energies,에너지
castro,카스트로
commenting,댓글
bridge,다리
laboratories,연구소
bologna,볼로냐
schemes,스킴
lambert,람베르트
roses,장미
individually,개별
fletcher,플레처
tunisia,튀니지
lotus,로터스
harassment,괴롭힘
phones,전화
wanderers,원더러스
volcano,화산
moments,moments
mambo,mambo
bypass,우회
toolbars,도구모음
failures,실패
gordian,고르디아누스
forbidden,금지
static,정적
artery,동맥
sns,sns
infringement,침해
bet,베팅
modify,수정
joshua,조슈아
matching,일치
cpp,cpp
chemicals,화학
ore,광석
madagascar,마다가스카
corporate,기업
tide,조수
eur,eur
fragrance,향기
sodium,나트륨
kiss,kiss
primitive,원시
competitor,경쟁자
maple,단풍
toledo,톨레도
mistakes,실수
bike,자전거
panamá,파나마
fuels,연료
skilled,숙련
gdi,gdi
mottos,표어
urdu,우르두어
beds,침대
oldham,올덤
heated,열띤
basalt,현무암
hellboy,헬보이
acquire,습득
amphibians,양서류
precipitation,강수
riots,폭동
pepper,후추
eighteen,열여덟
celebrations,축하
mos,mos
firewalls,방화벽
visitor,방문객
clip,클립
carson,카슨
dignity,위엄
classrooms,교실
protestants,개신교
ingram,잉그램
stark,스타크
inspection,검사
ainu,아이누어
maker,메이커
goodbye,굿바이
latvian,라트비아어
quentin,쿠엔틴
nielsen,닐센
genuine,정품
occurs,발생
integrity,무결성
casting,캐스팅
yuan,위안
madagascar,마다가스카르
meditate,명상
portfolio,포트폴리오
minnesota,미네소타
humor,유머
downloaded,다운로드
sinclair,싱클레어
finance,재정
buddha,부처님
yeast,효모
cascade,계단식
pistol,피스톨
flames,불꽃
kolkata,콜카타
tempura,튀김
patricia,패트리샤
vulnerability,취약점
pizzas,피자
albuquerque,앨버커키
volunteer,자원봉사
beth,베스
bee,벌벌
averages,평균
ruby,루비
injection,주입
timing,타이밍이
kaunas,카우나스
bangalore,벵갈루루
indie,인디
pvp,pvp
thirdly,세번째
melody,멜로디
army,육군
peters,피터스
surveillance,감시
manslaughter,살인죄
sharepoint,셰어포인트
nanometer,나노미터
werner,베르너
pension,연금
discharge,퇴원
longstreet,롱스트리트
aunt,고모
hbr,hbr
caesar,시저
arkham,아캄
monkey,원숭이
racist,인종차별
insert,삽입
tilda,틸다
berkshire,버크셔
knock,노크
sanskrit,산스크리트어
ether,에테르
acquire,획득
mirrors,미러
heavy,무거운
whatever,무엇이든
monolithic,모놀리식
tanzania,탄자니아
assembled,조립
meyer,마이어
shepherd,셰퍼드
turks,터키인
caesar,카이사르
mood,기분
fantastic,판타스틱
later,나중에
namespace,네임스페이스
marker,마커
upgrade,업그레이드
juvenile,청소년
trump,트럼프
philosophers,철학자들
