en,ko
antibodies,항체
sax,삭스
guesthouse,게스트하우스
vibe,vibe
masks,마스크
chest,흉부
oman,오만
quality,품질
aria,아리아
transform,변환
rehabilitation,재활
uniforms,유니폼
alias,별명
ssg,ssg
fax,팩스
constellation,별자리
liver,간간
underground,언더그라운드
dave,데이브
haskell,하스켈
ricardo,히카르도
ppv,ppv
mapping,매핑
exploding,폭발
callen,캘런
usd,usd
odds,확률
travis,트래비스
sequence,순서
auditorium,오디토리움
synthetic,합성
insight,통찰력
mild,가벼운
intake,섭취
bats,박쥐
ants,개미
disasters,재난
pty,pty
songwriter,송라이터
proximity,근접
precision,정밀
superman,슈퍼맨
rectangular,사각형
lance,랜스
specialty,전문
simultaneous,동시
midway,미드웨이
myth,신화
dodge,닷지
networking,네트워킹
symbols,기호
conrad,콘라트
latitude,위도
payments,결제
knockout,녹아웃
deciding,결정
ancestor,조상
salon,미용실
rabbit,토끼
hsr,hsr
realm,왕국
jupiter,목성의
libyan,리비아
cooling,냉방
deny,부정
missions,미션
precision,정밀도
equality,평등주의
ethical,윤리적
images,그림
bugs,버그
radius,반지름
bounce,바운스
workshops,워크샵
appetizer,반주
shops,가게
notification,알림
clk,clk
infringement,침해
alliances,동맹
falcons,팰컨
eternal,영원
scales,저울
martinelli,마르티넬리
flaming,flaming
fitzgerald,피츠제럴드
surgical,외과
equality,평등
ballerina,발레리나
boutiques,부티크
indonesian,인도네시아어
slide,슬라이드
mirror,미러
acf,acf
gprs,gprs
gnu,gnu
carpenter,카펜터
sgn,sgn
olympiacos,올림피아코스
candy,사탕
poles,폴란드인
pupil,눈동자
malaysian,말레이시아
tehran,테헤란
active,액티브
params,인자
app,어플리케이션
romans,로마인
dynamics,역학
radial,시선
shillings,실링
ōsumi,오스미
latvian,라트비아인
montenegro,몬테네그로
edith,에디스
leonid,레오니트
boobs,가슴
trademark,상표
marlboro,말보로
guarantee,보증
tension,텐션
enter,입력합니다
loans,대출
boyfriend,남자친구
piano,피아노
whale,고래
lily,릴리
threatening,협박
chocolate,초콜릿
puzzle,퍼즐
apartments,아파트
armour,갑옷
neighbourhood,근방
concentrated,농축
murderer,살인범
finger,손가락
jury,배심원
blast,폭발
beacons,비콘
holocaust,홀로코스트
sloan,슬론
communist,공산주의자
paths,경로
clement,클레멘트
hartford,하트퍼드
talks,회담
explore,탐색
peterson,피터슨
tickets,티켓
lung,허파
sagittarius,궁수자리
alfonso,알폰소
remake,리메이크
ambiguous,애매하다
justification,정당화
constantine,콘스탄틴
locals,지역주민
mikoyan,미코얀
beverly,베벌리
tough,터프
squid,오징어
hunters,사냥꾼
participant,참가자
initiatives,이니셔티브
decks,갑판
liked,좋아한
roosters,수탉
folder,디렉터리
recover,회복
rib,갈비
stamps,우표
cache,캐시
folklore,민속
climbing,등반
reporters,기자
treasure,보물
tibetan,티베트족
martin,마틴
judgement,심판
eng,eng
picnic,피크닉
certification,자격증
tangier,탕헤르
convention,컨벤션
magical,마법
package,패키지
censorship,검열
proceed,진행
insults,모욕
mari,마리
legislature,입법부
conservatives,보수주의
snowball,스노우볼
capability,능력
stairs,계단
neighborhoods,동네
systematic,체계적
gwt,gwt
starve,굶어
tudor,튜더
elena,엘레나
traces,흔적
visible,표시됨
siblings,형제
warm,따뜻하다
melville,멜빌
ditto,동감
vss,vss
klein,클라인
desertification,사막화
decree,법령
biodiversity,생물다양성
magnets,자석
golden,황금
romeo,로미오
antelope,영양
treats,취급
elevator,승강기
versace,베르사체
elevator,엘리베이터
vista,비스타
privileges,권한
leopold,레오폴트
marie,마리
congratulation,축하
quit,끝내기
insiders,종사자
avg,평균
itō,이토
barbadian,바베이도스
patch,패치
vbr,vbr
risks,위험
eternal,영원한
streak,연승
radeon,라데온
mcp,mcp
benedict,베네딕도
taipei,타이베이
comply,준수
birthdays,생일
streets,거리
transform,변형
jim,다짐
kangaroo,캥거루
citation,표창
nervous,긴장
christie,크리스티
swim,수영
terrible,끔찍한
sed,sed
turin,토리노
pottery,도자기
firecracker,폭죽
remarriage,재혼
part,부품
moldova,몰도바
celtic,켈트
package,소포
eternal,영원
submarines,잠수함
demolition,폭파
somalia,소말리아
pearson,피어슨
bengali,벵골어
bedford,베드퍼드
plastic,플라스틱
robins,로빈스
makassar,마카사르
barton,바톤
powerful,강력한
solve,풀기
appetizer,전채
vicinity,부근
lala,lala
ethical,윤리
namibia,나미비아
brooklyn,브룩클린
bridges,다리
snail,달팽이
altaic,알타이어족
barely,간신히
bee,꿀벌
minds,마인드
adaptation,적응
wow,와우
ally,앨리
montserrat,몬트세랫
yonsei,연세
ana,아나
sweetheart,연인
anger,분노
officer,장교
screenshot,스크린샷
recovery,복구
drops,물방울
underwater,수중
saves,저장
aurora,아우로라
imported,가져옴
assembled,조립
holidays,휴일
luther,루터
stacked,쌓인
ideology,이데올로기
title,타이틀
pierce,피어스
rodney,로드니
whitehead,화이트헤드
updates,업데이트
fairy,페어리
mensa,멘사
thames,템스
contestant,참가자
donations,기부
cruiser,크루저
supercontinent,초대륙
condolence,애도
electrodes,전극
billie,빌리
lonely,외로운
duchess,여공작
newark,뉴어크
communicate,소통
mesut,메수트
swelled,부어
brightness,밝기
dinosaur,공룡
everyday,일상
crater,충돌구
handle,핸들
bugs,벅스
graduation,졸업
hobbit,호빗
tank,전차
brill,brill
foreground,전경
photocopier,복사기
mousse,무스
breakfast,아침밥
rifles,소총
cameras,카메라
gill,아가미
baghdad,바그다드
motorsport,모터스포츠
foodstuffs,식료품
precedent,선례
tas,tas
fury,퓨리
miu,miu
fix,fix
colombian,콜롬비아
decoration,장식
constantine,콘스탄티노스
species,종족
kinabalu,키나발루
chef,주방장
stairway,계단
salary,월급
scalar,스칼라
factual,사실적
equaliser,이퀄라이저
mackenzie,맥켄지
diaz,디아스
advances,진전
wolves,늑대들
winner,승리자
merits,장점
plant,공장
imported,가져오기
pepper,고추
spaces,공간
wondering,궁금해
flair,플레어
check,점검
bsd,bsd
gnome,그놈
tunnels,터널
parkway,파크웨이
brave,용감한
demonstration,시연
verification,검증
textile,직물
penguin,펭귄
garcia,가르시아
glamorous,매력
rabbit,토끼
deciphering,해독
swan,백조
blizzard,블리자드
diary,다이어리
chromosomal,염색체
deposits,예금
extinct,사멸
lafayette,라피엣
chronic,만성적인
kenji,겐지
scouting,스카우트
smoothness,매끄러움
rfid,rfid
mud,머드
cmos,cmos
rostock,로스토크
spm,spm
verify,확인
icelandic,아이슬란드어
wristwatches,손목시계
scroll,스크롤
gloucester,글로스터
equations,방정식
cabin,객실
holly,홀리
screening,시사회
della,델라
banquet,연회
guadeloupe,과달루페
financing,금융
genesis,천지창조
projectors,프로젝터
antwerp,앤트워프
supplies,용품
edison,에디슨
dirty,더러운
auction,경매
chronicles,연대기
discharge,방전
monarchs,모나크스
theaters,극장
christ,그리스도
francesco,프란체스코
budget,예산
catalina,카타리나
expressway,자동차도
corridor,코리더
spike,스파이크
scots,스코트어
eclipse,일식
coldplay,콜드플레이
trace,흔적
iris,이리스
measurements,측정
seymour,시모어
supporter,서포터
peaks,봉우리
rides,놀이기구
disasters,재해
diary,일기
tired,피곤한
networking,네트워크
daily,일상
freshman,신입생
itunes,아이튠즈
query,조회
taipei,타이페이
excluded,제외됨
motto,좌우명
round,라운드
explicit,명시
advise,조언
promotion,승진
beans,콩깍지
shimomura,시모무라
bloomington,블루밍턴
malik,말리크
wonderful,멋진
contradictory,모순
wolfgang,볼프강
sara,세라
size,크기
luckily,다행히
germanic,게르만어
segmentation,세그멘테이션
gymnasium,김나지움
accommodation,숙박시설
fruits,과일과
meaningful,의미있는
cantata,칸타타
heather,헤더
sicily,시칠리아
gloria,글로리아
easter,부활절
ultra,울트라
basque,바스크
helicopters,헬리콥터
everybody,다들
subway,지하철
bed,침대
convention,협약
