en,ko
carey,캐리
beck,벡스
sovereignty,주권
exterior,외부
fence,울타리
civilization,문명
congestion,혼잡
dining,식당
borden,보덴
vaduz,파두츠
hammond,하몬드
hate,증오
firewire,파이어와이어
courthouse,법원
leicester,레스터
saga,사가
meeting,만남
inventor,발명가
quality,퀄리티
slope,경사
technical,기술
consumers,이용자
technetium,테크네튬
flood,대홍수
poly,폴리
winston,윈스턴
scorpius,전갈자리
forbes,포브스
navigators,네비게이터
dub,더빙
gay,게이
battlefield,배틀필드
aerospace,항공우주
iceland,아이슬란드
photographers,사진사
eda,eda
distillation,증류
chiangmai,치앙마이
rita,리타
workshop,워크샵
bolivar,볼리바르
folders,폴더
directed,감독
canvas,캔버스
recreational,레크리에이션
führer,총통
dutchman,네덜란드인
hayes,헤이즈
disability,장애인
instinct,본능
trilogy,삼부작
handwriting,글씨
theaters,극장
dairy,낙농
harvest,수확
guadeloupe,과들루프
precisely,정확히
wives,아내
staff,직원들
mohammed,모하메드
limit,한계
yellow,노란색
mature,성숙
tibetan,티베트
denis,데니스
topographic,지형
jett,제트
apache,아파치
antoine,앙투안
lisbon,리스본
agreements,협약
everywhere,어디든지
basque,바스크어
activate,활성화하기
angling,낚시
malay,말레이어
broad,광범위
thomson,톰슨
andre,안드레
peasant,농민
venus,비너스
basement,지하
used,사용됨
stupid,바보
afghan,아프가니스탄
walked,걷기
angelo,안젤로
miracle,기적
demon,악마
booth,부스
joyce,조이스
lira,리라
mandate,위임통치령
competitor,경쟁사
honey,허니
carnival,카니발
dlls,dll
nordic,스칸디나비아
clinic,진료소
leno,레노
warwick,워릭
fees,수수료
armenian,아르메니아
licensing,라이선스
proceed,진행하기
dodgers,다저스
mona,모나
cyrus,사이러스
ncc,ncc
ecstasy,엑스터시
kiev,키예프
monsters,몬스터
javascript,javascript
answered,답변
shining,빛나고
inspector,경감
prefix,접두어
pioneers,선구자
minority,소수
holidays,공휴일
disaster,재난
flanders,플랜더스
error,오류
mandatory,필수
mrt,mrt
productive,생산적
leather,가죽
agm,agm
catholicism,가톨릭교회
ceiling,천장
custody,구류
jasper,jasper
cleaning,클리닝
chevrolet,쉐보레
bulgarian,불가리아인
reunited,재결합
silence,침묵
tragedy,비극
differential,미분
vincent,빈센트
chef,요리사
minamata,미나마타
nwa,nwa
forbidden,금지
born,출생
replied,답글
loyalty,충성
judy,쥬디
asylum,망명
investigator,탐정
poker,포커
gerard,제라드
andre,앙드레
alberto,알베르토
endorse,지지하기
penis,성기
norm,규범
achievements,기록
pronoun,대명사
trunk,트렁크
jupiter,목성의
disposition,기질
ōita,오이타
adidas,아디다스
barrett,배럿
prison,감옥
catalan,카탈루냐
esophagus,식도
newsletter,뉴스레터
method,방법
duran,듀란
render,렌더링
scheme,배열
dylan,딜런
aunt,이모가
calvin,캘빈
neutrality,중립
introducing,소개합니다
surfaces,표면
dedication,헌신
cone,원뿔
entertainment,엔터테인먼트
pupil,동공
individuals,개인
slovenian,슬로베니아
upgraded,업그레이드
utrecht,위트레흐트
motorsports,모터스포츠
sectors,섹터
center,중앙
wonderful,멋진
lugano,루가노
shirley,셜리
diode,다이오드
sound,사운드
witnesses,목격자
mural,벽화
perception,지각
peaks,봉우리
siblings,형제
nationalism,국민주의
silence,사일런스
life,인생
trends,경향
lamb,양고기
ignition,점화
portable,포터블
sue,고소
trent,트렌트
bundesliga,분데스리가
launch,런칭
addition,덧셈
wolves,늑대
updating,업데이트
proportion,비례
chocolate,초콜렛
churchill,처칠
chaos,카오스
fungi,곰팡이
fool,바보
commando,특공대
recover,복구
explorers,탐험가
tray,트레이
toxic,독성
trapped,갇혀
strait,해협
hayes,헤이스
ecological,생태학
farming,농장
specify,지정
angela,안젤라
purpose,목적
safe,안전한
malnutrition,영양실조
downs,다운스
swimmer,수영
ginny,지니
drop,떨어뜨리기
alcohols,알코올
killers,킬러스
greenwich,그리니치
wycombe,위컴
samoa,사모아
petri,페트리
wendy,웬디
unitary,단일
caves,동굴
traversal,순회
detection,감지
transmitter,송신기
gymnasium,체육관
cognitive,인지
slovak,슬로바키아
sponsor,스폰서
informatics,정보학
character,성격
jumping,점프
sugar,슈슈
tramp,방랑자
chef,셰프
chariot,전차
duet,듀엣
slavic,슬라브어
prophet,예언자
chemicals,화학물질
latitude,위도
trapped,갇혀있는
wheels,바퀴
publishing,게시
maple,메이플
chassis,섀시
deadly,치명적이다
hayes,헤이스
papua,파푸아
consul,영사
sonic,소닉
omaha,오마하
receiver,수신기
trey,트레이
spacecraft,우주선
assigning,할당
nps,nps
sherman,셔먼
kristine,크리스틴
switching,전환
priestley,프리스틀리
crawford,크로포드
frances,프랜시스
dixon,딕슨
wand,지팡이
perks,특전
climbing,등산
explore,탐험
oriental,동양
immune,면역
shadows,그림자
neutrality,중립성
andré,안드레
nail,손톱
pierce,피어스
dates,데이트
shepherd,양치기
procedure,절차
complication,합병증
dispersion,분산
continuously,지속적으로
almond,아몬드
hunters,헌터
elisabeth,엘리자벳
specimen,견본
bombardment,포격
hotels,호텔
balanced,균형
acropolis,아크로폴리스
successful,성공적인
consultation,상담
exit,출구
grenoble,그르노블
boyfriend,보이프렌드
posts,게시물
qatar,카타르
rubber,고무
formatting,서식
webster,웹스터
rope,줄넘기
baek,baek
batteries,배터리
mix,섞어
applaud,박수
reputation,명성
sponsorship,스폰서
speeds,속도
massages,안마
position,위치
paragraphs,단락
split,나누기
marble,대리석
csf,csf
astronomer,천문학자
organisms,미생물
escaping,탈출
loyal,충성
tibet,티베트
cologne,쾰른
rené,르네
persecution,박해
ghosts,귀신
dubai,두바이
chatting,채팅
explicit,명시적
columnist,칼럼니스트
dutch,네덜란드
light,라이트
falcon,팰컨
calm,차분한
iris,아이리스
tomato,토마토
slovenian,슬로베니아어
smuggled,밀수
cake,케이크
sangin,상인
lunch,점심
dirham,디르함
lorraine,로레인
powder,가루
theatres,극장
temporarily,일시적
color,색상
scan,스캔
smoked,훈제
balloons,풍선
akiyama,아키야마
nimitz,니미츠
dorian,도리안
icelandic,아이슬란드
immigrant,이민
ammunition,탄약
listening,청취
buying,구매
clip,클립
carpenter,카펜터
extreme,극한
acquire,확보
translate,번역
wesley,웨슬리
singular,특이
kai,카이
dwarf,왜소은하
brett,브렛
anthropology,인류학
convincing,설득력
wimbledon,윔블던
katherine,캐서린
frost,프로스트
decreased,감소
sakhalin,사할린
slovakian,슬로바키아어
bombardment,포격
petty,페티
alexandra,알렉산드라
creature,생물
trigger,트리거
shirt,셔츠
cunningham,커닝엄
louise,루이즈
shark,상어
sizes,사이즈
tracking,트래킹
rectangular,직사각형
admiral,제독
thunders,썬더스
evaporates,증발
chūō,주오
microblogging,마이크로블로그
sidney,시드니
ribbon,리본
bangkok,방콕
judy,주디
calvin,켈빈
reef,암초
donating,기부
belts,벨트
decorations,장식
controlling,제어
missionaries,선교사
scots,스코틀랜드
flags,깃발
hyde,하이드
alps,알프스
marina,마리나
taiwanese,타이완어
gateway,게이트웨이
hormonal,호르몬
reid,리드
lafayette,라파예트
strategies,전략
nixon,닉슨
transistor,트랜지스터
bystanders,구경꾼
adviser,충고
usual,평상시
mechanisms,메커니즘
brush,브러시
bugs,곤충
levels,수준
straight,스트레이트
brotherhood,형제단
skull,해골
browns,브라운스
reasons,이유
jenny,제니
baby,베이비
klein,클라인
accommodation,숙박
pec,pec
counts,카운트
ludwig,루트비히
cdn,cdn
declare,선포
mistaken,착각
ginza,긴자
mail,편지
diaspora,디아스포라
fantastic,환상적
turtle,거북이
tarot,타로
ils,ils
doughnut,도넛
kashmir,카슈미르
invaded,침략
chronic,만성
diagnose,진단
beatles,비틀즈
dolphins,돌고래
flights,항공편
felix,펠릭스
silk,실크
argentines,아르헨티나인
atomic,원자
fibonacci,피보나치
treasures,보물
destiny,운명
flare,플레어
actions,동작
darfur,다르푸르
silhouette,실루엣
jackie,재키
nash,내시
founding,창립
element,원소
ricardo,리카르도
knife,나이프
michelle,미셸
griffin,그리핀
cone,원뿔
sunset,석양
monarch,모나크
omar,오마르
everywhere,어디서나
