en,ko
risks,리스크
santa,산타
grandmother,외할머니
credibility,신뢰성
charlotte,샬럿
dishes,접시
comedy,코미디
chances,기회
scenario,시나리오는
attributes,속성
buffer,버퍼
conservation,보존
freeway,고속도로
lever,레버
anyway,어쨌거나
specification,사양
maiko,마이코
hesse,헤센
sunset,일몰
mentally,정신적
ligament,인대
sick,아파
bonds,채권
drew,드류
comfort,위안
guides,가이드
bryant,브라이언트
joseph,조셉
commercialized,상업
specify,지정합니다
theft,도둑
gambling,도박
hampton,햄프턴
gothic,고딕
diagnostics,진단
abuse,악용
gospels,복음서
alignment,정렬
ink,잉크
launching,런칭
kok,kok
hirata,히라타
donations,기부
rating,별점
connector,커넥터
mcdonalds,맥도날드
ibrahim,아브라함
ethiopian,에티오피아
threatening,위협
rhine,라인
storms,폭풍
alyssa,앨리사
miaoli,먀오리
emissions,배출량
directing,연출
android,안드로이드
archer,아처
seasonal,계절
nils,닐스
ttl,ttl
jurisprudence,법학
lyrics,노랫말
unemployment,실업
allison,앨리슨
bach,바흐
lexicon,어휘
yemen,남예멘
ads,광고
donna,도나
seventeen,세븐틴
highlight,강조하기
pour,부어
bedford,베드퍼드
handbook,안내서
theta,세타
crawford,크로퍼드
calm,차분
conservatives,보수당
corrected,교정
bankruptcy,파산
tegucigalpa,테구시갈파
percy,퍼시
manuals,메뉴얼
dances,댄스
blessed,축복
valdez,발데스
expressway,자동차도
sunset,선셋
distribute,분배
completely,완전히
launching,출시
taiping,타이핑
berry,베리
tears,눈물이
translator,번역자
blessed,축복받은
matthews,매튜스
bravo,bravo
dynamics,동역학
weaknesses,약점
bruno,브루노
retire,은퇴
shiva,시바
rts,rts
htc,htc
carpet,카펫
season,시즌
arlington,알링턴
wolff,울프
emulation,에뮬레이션
prehistoric,선사시대
jubilee,주빌리
wound,상처
cottage,코티지
search,찾기
gravitational,중력
throwing,던지기
judith,주디스
translate,번역하기
disco,디스코
interrupted,중단됨
stewardess,승무원
sanitation,위생
penelope,페넬로페
watts,왓츠
copier,복사기
emissions,배출
dynamics,다이내믹스
bloody,블러디
liner,라이너
secrets,비밀
hank,행크
esc,esc
pepper,후추
mapping,맵핑
owl,올빼미
bart,바트
weird,이상한
leisure,레저
pollution,오염
fleming,플레밍
palmer,파머
hierarchy,계층
member,회원
highlights,하이라이트
toyotomi,도요토미
intervention,개입
tears,눈물
type,형식
duels,결투
lungs,폐지
measures,대책
zin,팩터
bookmarks,즐겨찾기
boateng,보아텡
viscount,자작
willard,윌러드
alert,알림
growl,으르렁
floors,바닥
notation,표기
katowice,카토비체
micrometer,나노미터
performances,공연
leipzig,라이프치히
researcher,연구자
tomb,무덤
greene,그린
leo,리오
checks,수표
myanmar,미얀마
genocide,집단살해
rent,월세
employer,직장
hinds,하인즈
maiden,처녀
drag,드래그
diagram,도표
cabin,오두막
tornado,토네이도
inflection,억양
barber,이발사
padua,파도바
astronomy,천문학
comparisons,비교
jeremiah,예레미야
soybean,대두
broad,넓은
jungle,정글
rainbow,무지개
hiphop,힙합
classroom,교실
cairns,케언스
grandmother,할머니
slave,노예
plasma,플라즈마
timing,타이밍
hansel,헨젤
cooling,냉각
connors,코너
poison,독도
http,http
replacements,리플레이스먼트
jonas,조나스
webpage,웹페이지
lovers,연인
carmel,카르멜
fiber,섬유
young,젊은
pos,pos
memorial,기념관
eskimo,에스키모
ost,ost
svt,svt
cop,경찰
everyday,매일
hawaiian,하와이
detect,탐지
czechoslovakia,체코슬로바키아
highlight,하이라이트
gibraltar,지브롤터
orphan,고아
planets,행성
villain,악당
crunch,크런치
slip,slip
hartford,하트포드
challenger,챌린저
implied,묵시적
msg,msg
emirates,에미레이트
keys,키키
jacksonville,잭슨빌
rational,합리적
surety,보증
worried,걱정
highlighted,하이라이트
handbook,도움말
fouls,파울
logistics,물류
greeks,그리스인
boarding,탑승
southampton,사우샘프턴
trap,트랩
lunar,음력
pickles,피클
breakfast,아침식사
violation,위반
unmarried,미혼
textile,섬유
suspicion,의심
